"GO.ID";"Term";"Annotated";"Significant";"Expected";"classicFisher";"weighted"
"GO:0004553";"hydrolase activity, hydrolyzing O-glycos...";168;93;42,9;"4.7e-17";"0.00197"
"GO:0016798";"hydrolase activity, acting on glycosyl b...";179;96;45,71;"2.4e-16";"1.00000"
"GO:0016491";"oxidoreductase activity";759;275;193,82;"4.0e-13";"0.00330"
"GO:0004497";"monooxygenase activity";135;69;34,47;"9.1e-11";"0.00085"
"GO:0005506";"iron ion binding";107;57;27,32;"5.3e-10";"9.2e-10"
"GO:0003824";"catalytic activity";3026;852;772,74;"2.4e-09";"0.00025"
"GO:0015291";"secondary active transmembrane transport...";66;38;16,85;"2.7e-08";"1.00000"
"GO:0016705";"oxidoreductase activity, acting on paire...";128;58;32,69;"6.9e-07";"1.00000"
"GO:0030247";"polysaccharide binding";15;13;3,83;"1.1e-06";"1.00000"
"GO:0030248";"cellulose binding";15;13;3,83;"1.1e-06";"1.1e-06"
"GO:0015293";"symporter activity";53;30;13,53;"1.3e-06";"1.00000"
"GO:0015294";"solute:cation symporter activity";53;30;13,53;"1.3e-06";"1.00000"
"GO:0020037";"heme binding";113;52;28,86;"1.5e-06";"1.5e-06"
"GO:0046906";"tetrapyrrole binding";113;52;28,86;"1.5e-06";"1.00000"
"GO:0005351";"carbohydrate:proton symporter activity";51;29;13,02;"1.7e-06";"1.7e-06"
"GO:0005402";"carbohydrate:cation symporter activity";51;29;13,02;"1.7e-06";"1.00000"
"GO:0015144";"carbohydrate transmembrane transporter a...";51;29;13,02;"1.7e-06";"1.00000"
"GO:0015295";"solute:proton symporter activity";51;29;13,02;"1.7e-06";"1.00000"
"GO:0016709";"oxidoreductase activity, acting on paire...";70;36;17,88;"2.6e-06";"1.00000"
"GO:0030246";"carbohydrate binding";29;19;7,41;"6.4e-06";"0.11724"
"GO:0005215";"transporter activity";302;109;77,12;"1.6e-05";"0.02490"
"GO:0008810";"cellulase activity";10;9;2,55;"3.5e-05";"3.5e-05"
"GO:0016787";"hydrolase activity";947;290;241,83;"3.9e-05";"0.43603"
"GO:0018664";"benzoate 4-monooxygenase activity";12;10;3,06;"4.5e-05";"4.5e-05"
"GO:0046915";"transition metal ion transmembrane trans...";7;7;1,79;"7.0e-05";"1.00000"
"GO:0022857";"transmembrane transporter activity";262;93;66,91;"0.00014";"1.00000"
"GO:0015926";"glucosidase activity";34;19;8,68;"0.00015";"1.00000"
"GO:0004104";"cholinesterase activity";6;6;1,53;"0.00027";"0.00108"
"GO:0097599";"xylanase activity";6;6;1,53;"0.00027";"1.00000"
"GO:0046914";"transition metal ion binding";742;227;189,48;"0.00038";"0.73646"
"GO:0008422";"beta-glucosidase activity";21;13;5,36;"0.00045";"0.00113"
"GO:0016670";"oxidoreductase activity, acting on a sul...";5;5;1,28;"0.00108";"1.00000"
"GO:0015171";"amino acid transmembrane transporter act...";33;17;8,43;"0.00118";"0.00118"
"GO:0043169";"cation binding";833;248;212,72;"0.00123";"0.04859"
"GO:0050660";"flavin adenine dinucleotide binding";89;36;22,73;"0.00132";"0.00132"
"GO:0016614";"oxidoreductase activity, acting on CH-OH...";203;71;51,84;"0.00140";"0.68522"
"GO:0005342";"organic acid transmembrane transporter a...";34;17;8,68;"0.00181";"1.00000"
"GO:0046943";"carboxylic acid transmembrane transporte...";34;17;8,68;"0.00181";"1.00000"
"GO:0046872";"metal ion binding";827;244;211,19;"0.00237";"0.26059"
"GO:0008324";"cation transmembrane transporter activit...";137;50;34,99;"0.00257";"0.40514"
"GO:0022890";"inorganic cation transmembrane transport...";128;47;32,69;"0.00297";"1.00000"
"GO:0015318";"inorganic molecular entity transmembrane...";148;53;37,79;"0.00311";"1.00000"
"GO:0010181";"FMN binding";33;16;8,43;"0.00365";"0.00365"
