"GO.ID";"Term";"Annotated";"Significant";"Expected";"classicFisher";"weighted"
"GO:0046873";"metal ion transmembrane transporter acti...";36;4;0,56;"0.0021";"1.0000"
"GO:0005388";"P-type calcium transporter activity";5;2;0,08;"0.0023";"0.0023"
"GO:0015085";"calcium ion transmembrane transporter ac...";5;2;0,08;"0.0023";"1.0000"
"GO:0004553";"hydrolase activity, hydrolyzing O-glycos...";168;8;2,59;"0.0040";"1.0000"
"GO:0046915";"transition metal ion transmembrane trans...";7;2;0,11;"0.0047";"1.0000"
"GO:0016798";"hydrolase activity, acting on glycosyl b...";179;8;2,76;"0.0058";"1.0000"
"GO:0008447";"L-ascorbate oxidase activity";8;2;0,12;"0.0062";"0.0062"
"GO:0016682";"oxidoreductase activity, acting on diphe...";8;2;0,12;"0.0062";"1.0000"
"GO:0030246";"carbohydrate binding";29;3;0,45;"0.0096";"0.0185"
"GO:0016787";"hydrolase activity";947;23;14,61;"0.0123";"0.1722"
"GO:0042626";"ATPase-coupled transmembrane transporter...";92;5;1,42;"0.0132";"1.0000"
"GO:0016747";"acyltransferase activity, transferring g...";128;6;1,97;"0.0134";"1.0000"
"GO:0022890";"inorganic cation transmembrane transport...";128;6;1,97;"0.0134";"1.0000"
"GO:0016679";"oxidoreductase activity, acting on diphe...";12;2;0,19;"0.0140";"1.0000"
"GO:0140359";"ABC-type transporter activity";34;3;0,52;"0.0149";"1.0000"
"GO:0004649";"poly(ADP-ribose) glycohydrolase activity";1;1;0,02;"0.0154";"0.0154"
"GO:0004657";"proline dehydrogenase activity";1;1;0,02;"0.0154";"0.0154"
"GO:0005381";"iron ion transmembrane transporter activ...";1;1;0,02;"0.0154";"0.0154"
"GO:0008660";"1-aminocyclopropane-1-carboxylate deamin...";1;1;0,02;"0.0154";"0.0154"
"GO:0016162";"cellulose 1,4-beta-cellobiosidase activi...";1;1;0,02;"0.0154";"0.0154"
"GO:0018528";"iminodiacetate dehydrogenase activity";1;1;0,02;"0.0154";"0.0154"
"GO:0043754";"dihydrolipoyllysine-residue (2-methylpro...";1;1;0,02;"0.0154";"0.0154"
"GO:0005215";"transporter activity";302;10;4,66;"0.0164";"0.4383"
"GO:0022857";"transmembrane transporter activity";262;9;4,04;"0.0182";"1.0000"
"GO:0008324";"cation transmembrane transporter activit...";137;6;2,11;"0.0183";"1.0000"
"GO:0022804";"active transmembrane transporter activit...";177;7;2,73;"0.0184";"1.0000"
"GO:0016746";"acyltransferase activity";141;6;2,18;"0.0208";"1.0000"
"GO:0008559";"ABC-type xenobiotic transporter activity";15;2;0,23;"0.0216";"0.0216"
"GO:0042910";"xenobiotic transmembrane transporter act...";15;2;0,23;"0.0216";"1.0000"
"GO:0015318";"inorganic molecular entity transmembrane...";148;6;2,28;"0.0257";"1.0000"
"GO:0015399";"primary active transmembrane transporter...";111;5;1,71;"0.0275";"1.0000"
"GO:0003960";"NADPH:quinone reductase activity";17;2;0,26;"0.0275";"0.0275"
"GO:0005507";"copper ion binding";17;2;0,26;"0.0275";"0.0275"
"GO:0003863";"3-methyl-2-oxobutanoate dehydrogenase (2...";2;1;0,03;"0.0306";"0.0306"
"GO:0004034";"aldose 1-epimerase activity";2;1;0,03;"0.0306";"0.0306"
"GO:0004092";"carnitine O-acetyltransferase activity";2;1;0,03;"0.0306";"0.0306"
"GO:0004503";"tyrosinase activity";2;1;0,03;"0.0306";"0.0306"
"GO:0005385";"zinc ion transmembrane transporter activ...";2;1;0,03;"0.0306";"0.0306"
"GO:0016649";"oxidoreductase activity, acting on the C...";2;1;0,03;"0.0306";"1.0000"
"GO:0018784";"(S)-2-haloacid dehalogenase activity";2;1;0,03;"0.0306";"0.0306"
"GO:0033946";"xyloglucan-specific endo-beta-1,4-glucan...";2;1;0,03;"0.0306";"0.0306"
"GO:0004568";"chitinase activity";19;2;0,29;"0.0339";"0.0153"
"GO:0015075";"ion transmembrane transporter activity";164;6;2,53;"0.0396";"1.0000"
"GO:0031177";"phosphopantetheine binding";21;2;0,32;"0.0408";"0.0408"
"GO:0072341";"modified amino acid binding";21;2;0,32;"0.0408";"1.0000"
"GO:0008825";"cyclopropane-fatty-acyl-phospholipid syn...";3;1;0,05;"0.0456";"0.0456"
"GO:0009044";"xylan 1,4-beta-xylosidase activity";3;1;0,05;"0.0456";"0.0456"
"GO:0052736";"beta-glucanase activity";3;1;0,05;"0.0456";"1.0000"
"GO:0015662";"P-type ion transporter activity";23;2;0,35;"0.0482";"1.0000"
"GO:0140358";"P-type transmembrane transporter activit...";23;2;0,35;"0.0482";"1.0000"
"GO:0016887";"ATP hydrolysis activity";56;3;0,86;"0.0545";"0.0545"
"GO:0004497";"monooxygenase activity";135;5;2,08;"0.0561";"0.0626"
"GO:0004312";"fatty acid synthase activity";26;2;0,4;"0.0601";"0.1686"
"GO:0016655";"oxidoreductase activity, acting on NAD(P...";26;2;0,4;"0.0601";"1.0000"
"GO:0004555";"alpha,alpha-trehalase activity";4;1;0,06;"0.0603";"0.0603"
"GO:0016824";"hydrolase activity, acting on acid halid...";4;1;0,06;"0.0603";"1.0000"
"GO:0019120";"hydrolase activity, acting on acid halid...";4;1;0,06;"0.0603";"1.0000"
"GO:0008236";"serine-type peptidase activity";27;2;0,42;"0.0643";"0.2760"
"GO:0017171";"serine hydrolase activity";27;2;0,42;"0.0643";"1.0000"
"GO:0033218";"amide binding";29;2;0,45;"0.0729";"1.0000"
"GO:0004185";"serine-type carboxypeptidase activity";5;1;0,08;"0.0748";"0.0748"
"GO:0015927";"trehalase activity";5;1;0,08;"0.0748";"1.0000"
"GO:0016406";"carnitine O-acyltransferase activity";5;1;0,08;"0.0748";"1.0000"
"GO:0016629";"12-oxophytodienoate reductase activity";5;1;0,08;"0.0748";"0.0748"
"GO:0016716";"oxidoreductase activity, acting on paire...";5;1;0,08;"0.0748";"1.0000"
"GO:0016857";"racemase and epimerase activity, acting ...";5;1;0,08;"0.0748";"1.0000"
"GO:0005506";"iron ion binding";107;4;1,65;"0.0821";"0.0821"
"GO:0019829";"ATPase-coupled cation transmembrane tran...";32;2;0,49;"0.0865";"1.0000"
"GO:0004180";"carboxypeptidase activity";6;1;0,09;"0.0891";"1.0000"
"GO:0004301";"epoxide hydrolase activity";6;1;0,09;"0.0891";"0.0891"
"GO:0004326";"tetrahydrofolylpolyglutamate synthase ac...";6;1;0,09;"0.0891";"0.0891"
"GO:0016624";"oxidoreductase activity, acting on the a...";6;1;0,09;"0.0891";"1.0000"
"GO:0070008";"serine-type exopeptidase activity";6;1;0,09;"0.0891";"1.0000"
"GO:0097599";"xylanase activity";6;1;0,09;"0.0891";"1.0000"
"GO:0020037";"heme binding";113;4;1,74;"0.0958";"0.0958"
"GO:0046906";"tetrapyrrole binding";113;4;1,74;"0.0958";"1.0000"
"GO:0004622";"lysophospholipase activity";7;1;0,11;"0.1032";"0.1032"
"GO:0008967";"phosphoglycolate phosphatase activity";7;1;0,11;"0.1032";"0.1032"
"GO:0016854";"racemase and epimerase activity";7;1;0,11;"0.1032";"1.0000"
"GO:0003824";"catalytic activity";3026;52;46,69;"0.1042";"0.7468"
"GO:0005509";"calcium ion binding";36;2;0,56;"0.1058";"0.1058"
"GO:0022853";"active ion transmembrane transporter act...";118;4;1,82;"0.1079";"1.0000"
"GO:0016491";"oxidoreductase activity";759;16;11,71;"0.1128";"0.8316"
"GO:0016407";"acetyltransferase activity";77;3;1,19;"0.1150";"1.0000"
"GO:0033961";"cis-stilbene-oxide hydrolase activity";8;1;0,12;"0.1171";"0.1171"
"GO:0016803";"ether hydrolase activity";9;1;0,14;"0.1307";"1.0000"
"GO:0016651";"oxidoreductase activity, acting on NAD(P...";41;2;0,63;"0.1312";"1.0000"
"GO:0008688";"3-(3-hydroxyphenyl)propionate hydroxylas...";10;1;0,15;"0.1441";"0.1441"
"GO:0008810";"cellulase activity";10;1;0,15;"0.1441";"0.1441"
"GO:0016801";"hydrolase activity, acting on ether bond...";10;1;0,15;"0.1441";"1.0000"
"GO:0018471";"4-chlorobenzaldehyde oxidase activity";10;1;0,15;"0.1441";"0.1441"
"GO:0018630";"3,5-xylenol methylhydroxylase activity";10;1;0,15;"0.1441";"0.1441"
"GO:0018631";"phenylacetate hydroxylase activity";10;1;0,15;"0.1441";"0.1441"
"GO:0018632";"4-nitrophenol 4-monooxygenase activity";10;1;0,15;"0.1441";"0.1441"
"GO:0018633";"dimethyl sulfide monooxygenase activity";10;1;0,15;"0.1441";"0.1441"
