"GO.ID";"classicFisher";"weighted"
"GO:0005975";"2.5e-10";"1.3e-12"
"GO:0008643";"8.7e-07";"8.7e-07"
"GO:0000041";"2.7e-05";"1.00000"
"GO:0006865";"0.00082";"0.00082"
"GO:0015849";"0.00082";"1.00000"
"GO:0006825";"0.00128";"0.00128"
"GO:1901615";"0.01052";"1.00000"
"GO:0006885";"0.01518";"0.01518"
"GO:0055067";"0.01518";"1.00000"
"GO:0006302";"0.01528";"0.24791"
"GO:0051345";"0.01528";"1.00000"
"GO:0051346";"0.01528";"1.00000"
"GO:0051421";"0.01528";"1.00000"
"GO:0051422";"0.01528";"0.01528"
"GO:0051423";"0.01528";"0.01528"
"GO:0009116";"0.02597";"0.02597"
"GO:1901657";"0.02597";"1.00000"
"GO:0006066";"0.02781";"0.00394"
"GO:0006355";"0.04683";"0.04683"
"GO:1903506";"0.04683";"1.00000"
"GO:2001141";"0.04683";"1.00000"
"GO:0007040";"0.04978";"0.04978"
"GO:0080171";"0.04978";"1.00000"
"GO:0051252";"0.05034";"1.00000"
"GO:0006044";"0.06165";"0.06165"
"GO:0006303";"0.06165";"0.06165"
"GO:0006829";"0.06165";"0.06165"
"GO:0019219";"0.06205";"1.00000"
"GO:0006665";"0.06887";"0.10150"
"GO:0048878";"0.06887";"1.00000"
"GO:0050801";"0.06887";"1.00000"
"GO:0055080";"0.06887";"1.00000"
"GO:0098771";"0.06887";"1.00000"
"GO:0009889";"0.07093";"1.00000"
"GO:0010468";"0.07093";"1.00000"
"GO:0010556";"0.07093";"1.00000"
"GO:0031326";"0.07093";"1.00000"
"GO:0046434";"0.07595";"1.00000"
"GO:0031323";"0.09715";"1.00000"
"GO:0044270";"0.09802";"1.00000"
"GO:0046700";"0.09802";"1.00000"
"GO:0006915";"0.10167";"0.10167"
"GO:0007033";"0.10167";"1.00000"
"GO:0008219";"0.10167";"1.00000"
"GO:0009166";"0.10167";"0.25855"
"GO:0012501";"0.10167";"1.00000"
"GO:1901292";"0.10167";"1.00000"
"GO:0006812";"0.10668";"0.32171"
"GO:0016042";"0.11134";"0.15409"
"GO:0006351";"0.12251";"1.00000"
"GO:0097659";"0.12251";"1.00000"
"GO:1901361";"0.12541";"1.00000"
"GO:0032774";"0.13672";"1.00000"
"GO:0006979";"0.14434";"0.14434"
"GO:0030001";"0.14739";"0.96541"
"GO:0006811";"0.14779";"1.00000"
"GO:0006810";"0.15019";"0.00229"
"GO:0006857";"0.15438";"0.15438"
"GO:0015833";"0.15438";"1.00000"
"GO:0016998";"0.15438";"0.43480"
"GO:0042886";"0.15438";"1.00000"
"GO:0044036";"0.15438";"1.00000"
"GO:0016999";"0.16246";"1.00000"
"GO:0017001";"0.16246";"1.00000"
"GO:0030653";"0.16246";"1.00000"
"GO:0030655";"0.16246";"0.16246"
"GO:0046677";"0.16246";"0.16246"
"GO:0072338";"0.16246";"1.00000"
"GO:0072340";"0.16246";"1.00000"
"GO:0051234";"0.16522";"1.00000"
"GO:0006801";"0.16673";"0.16673"
"GO:0072593";"0.16673";"1.00000"
"GO:0042221";"0.18493";"1.00000"
"GO:0051179";"0.18943";"1.00000"
"GO:0042254";"0.18979";"0.46770"
"GO:0006808";"0.20740";"0.20740"
"GO:0019740";"0.20740";"1.00000"
"GO:0032101";"0.20740";"1.00000"
"GO:0032104";"0.20740";"1.00000"
"GO:0032107";"0.20740";"1.00000"
"GO:0006364";"0.20858";"0.20858"
"GO:0016072";"0.20858";"1.00000"
"GO:0005976";"0.22014";"0.24816"
"GO:0043605";"0.22014";"1.00000"
"GO:0051336";"0.22014";"1.00000"
"GO:0072330";"0.22014";"1.00000"
"GO:0022613";"0.22167";"1.00000"
"GO:0006766";"0.22934";"1.00000"
"GO:0006767";"0.22934";"1.00000"
"GO:0009110";"0.22934";"1.00000"
"GO:0042364";"0.22934";"1.00000"
"GO:0006476";"0.24013";"0.24013"
"GO:0035601";"0.24013";"1.00000"
"GO:0098732";"0.24013";"1.00000"
"GO:0006097";"0.24841";"0.24841"
"GO:0006195";"0.24841";"1.00000"
"GO:0006198";"0.24841";"0.24841"
"GO:0006313";"0.24841";"0.24841"
"GO:0006471";"0.24841";"0.24841"
