"GO.ID";"classicFisher";"weighted"
"GO:0004553";"4.7e-17";"0.00197"
"GO:0016798";"2.4e-16";"1.00000"
"GO:0016491";"4.0e-13";"0.00330"
"GO:0004497";"9.1e-11";"0.00085"
"GO:0005506";"5.3e-10";"9.2e-10"
"GO:0003824";"2.4e-09";"0.00025"
"GO:0015291";"2.7e-08";"1.00000"
"GO:0016705";"6.9e-07";"1.00000"
"GO:0030247";"1.1e-06";"1.00000"
"GO:0030248";"1.1e-06";"1.1e-06"
"GO:0015293";"1.3e-06";"1.00000"
"GO:0015294";"1.3e-06";"1.00000"
"GO:0020037";"1.5e-06";"1.5e-06"
"GO:0046906";"1.5e-06";"1.00000"
"GO:0005351";"1.7e-06";"1.7e-06"
"GO:0005402";"1.7e-06";"1.00000"
"GO:0015144";"1.7e-06";"1.00000"
"GO:0015295";"1.7e-06";"1.00000"
"GO:0016709";"2.6e-06";"1.00000"
"GO:0030246";"6.4e-06";"0.11724"
"GO:0005215";"1.6e-05";"0.02490"
"GO:0008810";"3.5e-05";"3.5e-05"
"GO:0016787";"3.9e-05";"0.43603"
"GO:0018664";"4.5e-05";"4.5e-05"
"GO:0046915";"7.0e-05";"1.00000"
"GO:0022857";"0.00014";"1.00000"
"GO:0015926";"0.00015";"1.00000"
"GO:0004104";"0.00027";"0.00108"
"GO:0097599";"0.00027";"1.00000"
"GO:0046914";"0.00038";"0.73646"
"GO:0008422";"0.00045";"0.00113"
"GO:0016670";"0.00108";"1.00000"
"GO:0015171";"0.00118";"0.00118"
"GO:0043169";"0.00123";"0.04859"
"GO:0050660";"0.00132";"0.00132"
"GO:0016614";"0.00140";"0.68522"
"GO:0005342";"0.00181";"1.00000"
"GO:0046943";"0.00181";"1.00000"
"GO:0046872";"0.00237";"0.26059"
"GO:0008324";"0.00257";"0.40514"
"GO:0022890";"0.00297";"1.00000"
"GO:0015318";"0.00311";"1.00000"
"GO:0010181";"0.00365";"0.00365"
"GO:0000293";"0.00396";"0.00396"
"GO:0004560";"0.00424";"0.00424"
"GO:0005375";"0.00424";"0.00424"
"GO:0015928";"0.00424";"1.00000"
"GO:0022804";"0.00437";"1.00000"
"GO:0008447";"0.00471";"0.00471"
"GO:0016682";"0.00471";"1.00000"
"GO:0052689";"0.00915";"1.00000"
"GO:0015075";"0.01216";"1.00000"
"GO:0140359";"0.01390";"1.00000"
"GO:0015297";"0.01409";"0.44466"
"GO:0005507";"0.01412";"0.01412"
"GO:0015078";"0.01437";"1.00000"
"GO:0022853";"0.01523";"1.00000"
"GO:0016722";"0.01593";"1.00000"
"GO:0008482";"0.01662";"0.01662"
"GO:0009044";"0.01662";"0.01662"
"GO:0031176";"0.01662";"0.01662"
"GO:0033897";"0.01662";"0.01662"
"GO:0050525";"0.01662";"0.01662"
"GO:0005451";"0.01686";"1.00000"
"GO:0015298";"0.01686";"1.00000"
"GO:0015299";"0.01686";"0.01686"
"GO:0015927";"0.01686";"1.00000"
"GO:0016716";"0.01686";"1.00000"
"GO:0004022";"0.02177";"1.00000"
"GO:0008812";"0.02177";"0.02177"
"GO:0018455";"0.02177";"1.00000"
"GO:0016746";"0.02180";"0.58307"
"GO:0016810";"0.02420";"0.29435"
"GO:0018658";"0.03248";"0.03248"
"GO:0003700";"0.04020";"0.04020"
"GO:0004043";"0.04039";"0.04039"
"GO:0016849";"0.04039";"1.00000"
"GO:0047750";"0.04039";"0.04039"
"GO:0016209";"0.04483";"0.58558"
"GO:0016616";"0.04680";"0.99767"
"GO:0004023";"0.05305";"0.05305"
"GO:0004024";"0.05305";"0.05305"
"GO:0004025";"0.05305";"0.05305"
"GO:0004096";"0.05305";"0.05305"
"GO:0004348";"0.05377";"0.05377"
"GO:0004555";"0.05377";"0.05377"
"GO:0004815";"0.05377";"0.05377"
"GO:0008554";"0.05377";"0.05377"
"GO:0016899";"0.05377";"1.00000"
"GO:0051118";"0.05377";"0.05377"
"GO:0016747";"0.05646";"0.68952"
"GO:0016811";"0.05693";"0.96021"
"GO:0016887";"0.05792";"0.05792"
"GO:0140110";"0.05859";"1.00000"
"GO:0016679";"0.05949";"1.00000"
"GO:0016667";"0.06165";"1.00000"
"GO:0008559";"0.06242";"0.06242"
"GO:0042910";"0.06242";"1.00000"
"GO:0031177";"0.06286";"0.06286"
"GO:0072341";"0.06286";"1.00000"
"GO:0003987";"0.06517";"0.06517"
"GO:0004034";"0.06517";"0.06517"
"GO:0004321";"0.06517";"0.06517"
"GO:0004341";"0.06517";"0.06517"
"GO:0004470";"0.06517";"0.25520"
"GO:0004503";"0.06517";"0.06517"
"GO:0004558";"0.06517";"0.06517"
"GO:0004561";"0.06517";"0.06517"
"GO:0004667";"0.06517";"0.06517"
"GO:0005385";"0.06517";"0.06517"
"GO:0008783";"0.06517";"0.06517"
"GO:0016404";"0.06517";"0.06517"
"GO:0016538";"0.06517";"0.06517"
"GO:0016972";"0.06517";"0.06517"
"GO:0047038";"0.06517";"0.06517"
"GO:0047061";"0.06517";"0.06517"
"GO:0047639";"0.06517";"0.06517"
"GO:0050150";"0.06517";"0.06517"
"GO:0004567";"0.07546";"0.10902"
"GO:0008496";"0.07546";"0.07546"
"GO:0015081";"0.07546";"1.00000"
"GO:0016831";"0.08008";"1.00000"
"GO:0004601";"0.08313";"0.76998"
"GO:0016684";"0.08313";"1.00000"
"GO:0016878";"0.08313";"1.00000"
"GO:0004499";"0.08432";"0.08432"
"GO:0008688";"0.08432";"0.08432"
"GO:0016863";"0.08432";"1.00000"
"GO:0018471";"0.08432";"0.08432"
"GO:0018630";"0.08432";"0.08432"
"GO:0018631";"0.08432";"0.08432"
"GO:0018632";"0.08432";"0.08432"
"GO:0018633";"0.08432";"0.08432"
"GO:0018634";"0.08432";"0.08432"
"GO:0018635";"0.08432";"0.08432"
"GO:0018636";"0.08432";"0.08432"
"GO:0018637";"0.08432";"0.08432"
"GO:0018638";"0.08432";"0.08432"
"GO:0018639";"0.08432";"0.08432"
"GO:0018640";"0.08432";"0.08432"
"GO:0018641";"0.08432";"0.08432"
"GO:0018642";"0.08432";"0.08432"
"GO:0018643";"0.08432";"0.08432"
"GO:0018644";"0.08432";"0.08432"
"GO:0018646";"0.08432";"0.08432"
"GO:0018647";"0.08432";"0.08432"
"GO:0018648";"0.08432";"0.08432"
"GO:0018649";"0.08432";"0.08432"
"GO:0018650";"0.08432";"0.08432"
"GO:0018651";"0.08432";"0.08432"
"GO:0018652";"0.08432";"0.08432"
"GO:0018653";"0.08432";"0.08432"
"GO:0018654";"0.08432";"0.08432"
"GO:0018655";"0.08432";"0.08432"
"GO:0018656";"0.08432";"0.08432"
"GO:0018657";"0.08432";"0.08432"
"GO:0019113";"0.08432";"1.00000"
"GO:0043364";"0.08432";"1.00000"
"GO:0043365";"0.08432";"0.08432"
"GO:0043719";"0.08432";"0.08432"
"GO:0043731";"0.08432";"0.08432"
"GO:0046912";"0.08432";"1.00000"
"GO:0016405";"0.08567";"1.00000"
"GO:0008171";"0.09628";"0.37715"
"GO:0004312";"0.10154";"0.16795"
"GO:0046873";"0.10476";"0.99317"
"GO:0015923";"0.10687";"1.00000"
"GO:0003950";"0.10914";"0.10914"
"GO:0008484";"0.10914";"0.27048"
"GO:0016629";"0.10914";"0.10914"
"GO:0016712";"0.10914";"1.00000"
"GO:0003960";"0.11699";"0.11699"
"GO:0015462";"0.11699";"0.11699"
"GO:0017116";"0.11699";"0.11699"
"GO:0016812";"0.12101";"1.00000"
"GO:0003995";"0.12118";"0.37793"
"GO:0004338";"0.12118";"0.12118"
"GO:0052890";"0.12118";"1.00000"
"GO:0000254";"0.16227";"0.16227"
"GO:0003871";"0.16227";"0.16227"
"GO:0003922";"0.16227";"0.16227"
"GO:0004115";"0.16227";"0.25526"
"GO:0004801";"0.16227";"0.16227"
"GO:0005315";"0.16227";"0.16227"
"GO:0008443";"0.16227";"0.44532"
"GO:0008825";"0.16227";"0.16227"
"GO:0010333";"0.16227";"1.00000"
"GO:0010334";"0.16227";"1.00000"
"GO:0016977";"0.16227";"0.16227"
"GO:0030196";"0.16227";"0.16227"
"GO:0042085";"0.16227";"1.00000"
"GO:0046556";"0.16227";"0.16227"
"GO:0047621";"0.16227";"0.16227"
"GO:0047911";"0.16227";"0.16227"
"GO:0052736";"0.16227";"1.00000"
"GO:0016877";"0.16433";"1.00000"
"GO:0008800";"0.17569";"0.17569"
"GO:0016717";"0.17788";"0.44524"
"GO:0017136";"0.17788";"0.17788"
"GO:0034979";"0.17788";"1.00000"
"GO:0003678";"0.18938";"1.00000"
"GO:0004568";"0.18938";"0.25505"
"GO:0008080";"0.20091";"0.25286"
"GO:0004344";"0.20373";"0.20373"
"GO:0008374";"0.20373";"1.00000"
"GO:0018446";"0.20373";"0.20373"
"GO:0018447";"0.20373";"0.20373"
"GO:0018448";"0.20373";"0.20373"
"GO:0018449";"0.20373";"0.20373"
"GO:0018450";"0.20373";"0.20373"
"GO:0042469";"0.20373";"0.20373"
"GO:0045703";"0.20373";"0.20373"
"GO:0010340";"0.21332";"1.00000"
"GO:0051998";"0.21332";"1.00000"
"GO:0016407";"0.22457";"1.00000"
"GO:0008236";"0.23336";"0.12114"
"GO:0017171";"0.23336";"1.00000"
"GO:0016830";"0.24066";"0.69175"
"GO:0043167";"0.24573";"1.00000"
"GO:0008168";"0.25097";"0.77616"
"GO:0019213";"0.25104";"1.00000"
"GO:0016410";"0.25394";"1.00000"
"GO:0015929";"0.25470";"1.00000"
"GO:0016744";"0.25470";"1.00000"
"GO:0016813";"0.25470";"1.00000"
"GO:0016838";"0.25470";"1.00000"
"GO:0000298";"0.25537";"0.25537"
"GO:0000334";"0.25537";"0.25537"
"GO:0001727";"0.25537";"1.00000"
"GO:0001760";"0.25537";"0.25537"
"GO:0003830";"0.25537";"0.25537"
"GO:0003844";"0.25537";"0.25537"
"GO:0003853";"0.25537";"0.25537"
"GO:0003864";"0.25537";"0.25537"
"GO:0003870";"0.25537";"0.25537"
"GO:0003873";"0.25537";"0.25537"
"GO:0003883";"0.25537";"0.25537"
"GO:0003885";"0.25537";"0.25537"
"GO:0003972";"0.25537";"0.25537"
"GO:0003975";"0.25537";"0.25537"
"GO:0003983";"0.25537";"0.25537"
"GO:0003990";"0.25537";"0.25537"
"GO:0004026";"0.25537";"0.25537"
"GO:0004058";"0.25537";"0.25537"
"GO:0004061";"0.25537";"0.25537"
"GO:0004070";"0.25537";"0.25537"
"GO:0004107";"0.25537";"0.25537"
"GO:0004109";"0.25537";"0.25537"
"GO:0004141";"0.25537";"0.25537"
"GO:0004150";"0.25537";"0.25537"
"GO:0004165";"0.25537";"0.25537"
"GO:0004329";"0.25537";"0.25537"
"GO:0004342";"0.25537";"0.25537"
"GO:0004363";"0.25537";"0.25537"
"GO:0004365";"0.25537";"0.25537"
"GO:0004370";"0.25537";"0.25537"
"GO:0004392";"0.25537";"0.25537"
"GO:0004410";"0.25537";"0.25537"
"GO:0004420";"0.25537";"0.25537"
"GO:0004421";"0.25537";"0.25537"
"GO:0004473";"0.25537";"0.25537"
"GO:0004474";"0.25537";"0.25537"
"GO:0004502";"0.25537";"0.25537"
"GO:0004566";"0.25537";"0.25537"
"GO:0004595";"0.25537";"0.25537"
"GO:0004608";"0.25537";"0.25537"
"GO:0004612";"0.25537";"0.25537"
"GO:0004623";"0.25537";"1.00000"
"GO:0004634";"0.25537";"0.25537"
"GO:0004638";"0.25537";"0.25537"
"GO:0004657";"0.25537";"0.25537"
"GO:0004660";"0.25537";"0.25537"
"GO:0004671";"0.25537";"0.25537"
"GO:0004733";"0.25537";"0.25537"
"GO:0004740";"0.25537";"0.25537"
"GO:0004757";"0.25537";"0.25537"
"GO:0004772";"0.25537";"0.25537"
"GO:0004803";"0.25537";"0.25537"
"GO:0004856";"0.25537";"0.25537"
"GO:0005381";"0.25537";"0.25537"
"GO:0005415";"0.25537";"0.25537"
"GO:0008448";"0.25537";"0.25537"
"GO:0008452";"0.25537";"1.00000"
"GO:0008465";"0.25537";"0.25537"
"GO:0008466";"0.25537";"0.25537"
"GO:0008481";"0.25537";"0.25537"
"GO:0008607";"0.25537";"0.25537"
"GO:0008660";"0.25537";"0.25537"
"GO:0008678";"0.25537";"0.25537"
"GO:0008703";"0.25537";"0.25537"
"GO:0008710";"0.25537";"0.25537"
"GO:0008788";"0.25537";"0.25537"
"GO:0008819";"0.25537";"0.25537"
"GO:0008838";"0.25537";"0.25537"
"GO:0008887";"0.25537";"0.25537"
"GO:0008963";"0.25537";"0.25537"
"GO:0009014";"0.25537";"0.25537"
"GO:0009039";"0.25537";"0.25537"
"GO:0010301";"0.25537";"0.25537"
"GO:0015105";"0.25537";"0.25537"
"GO:0015109";"0.25537";"0.25537"
"GO:0016162";"0.25537";"0.25537"
"GO:0016208";"0.25537";"0.25537"
"GO:0016290";"0.25537";"0.25537"
"GO:0016530";"0.25537";"1.00000"
"GO:0016531";"0.25537";"0.25537"
"GO:0016662";"0.25537";"1.00000"
"GO:0016713";"0.25537";"1.00000"
"GO:0016869";"0.25537";"1.00000"
