"GO.ID";"classicFisher";"weighted"
"GO:0006303";"0.008";"0.008"
"GO:0006302";"0.012";"1.000"
"GO:0051345";"0.012";"1.000"
"GO:0051346";"0.012";"1.000"
"GO:0051421";"0.012";"1.000"
"GO:0051422";"0.012";"0.012"
"GO:0051423";"0.012";"0.012"
"GO:0051336";"0.039";"1.000"
"GO:0006865";"0.125";"0.125"
"GO:0015849";"0.125";"1.000"
"GO:0006281";"0.222";"1.000"
"GO:0008152";"0.223";"0.016"
"GO:0006974";"0.226";"1.000"
"GO:0033554";"0.229";"1.000"
"GO:0043085";"0.269";"1.000"
"GO:0044093";"0.269";"1.000"
"GO:0043086";"0.281";"1.000"
"GO:0044092";"0.281";"1.000"
"GO:0006950";"0.313";"1.000"
"GO:0050790";"0.316";"1.000"
"GO:0065009";"0.318";"1.000"
"GO:0006259";"0.378";"1.000"
"GO:0006355";"0.388";"0.388"
"GO:1903506";"0.388";"1.000"
"GO:2001141";"0.388";"1.000"
"GO:0051252";"0.389";"1.000"
"GO:0019219";"0.394";"1.000"
"GO:0009889";"0.397";"1.000"
"GO:0010468";"0.397";"1.000"
"GO:0010556";"0.397";"1.000"
"GO:0031326";"0.397";"1.000"
"GO:0065007";"0.399";"1.000"
"GO:0031323";"0.404";"1.000"
"GO:0006351";"0.410";"1.000"
"GO:0097659";"0.410";"1.000"
"GO:0032774";"0.413";"1.000"
"GO:0090304";"0.451";"1.000"
"GO:0071705";"0.481";"1.000"
"GO:0034654";"0.496";"1.000"
"GO:0051716";"0.498";"1.000"
"GO:0060255";"0.511";"1.000"
"GO:0019222";"0.512";"1.000"
"GO:0051171";"0.512";"1.000"
"GO:0080090";"0.512";"1.000"
"GO:0019752";"0.539";"0.539"
"GO:0043436";"0.539";"1.000"
"GO:0005975";"0.541";"0.541"
"GO:0006082";"0.541";"1.000"
"GO:0050794";"0.546";"1.000"
"GO:0019438";"0.549";"1.000"
"GO:0018130";"0.554";"1.000"
"GO:1901362";"0.576";"1.000"
"GO:0006139";"0.587";"1.000"
"GO:0071702";"0.593";"1.000"
"GO:0016070";"0.615";"1.000"
"GO:0050896";"0.638";"1.000"
"GO:0046483";"0.641";"1.000"
"GO:0050789";"0.666";"1.000"
"GO:0006725";"0.672";"1.000"
"GO:1901360";"0.672";"1.000"
"GO:0009059";"0.679";"1.000"
"GO:0010467";"0.737";"1.000"
"GO:0044271";"0.748";"1.000"
"GO:0034641";"0.769";"1.000"
"GO:0044281";"0.775";"1.000"
"GO:0044260";"0.788";"1.000"
"GO:0006810";"0.827";"1.000"
"GO:0051234";"0.829";"1.000"
"GO:0051179";"0.831";"1.000"
"GO:0044249";"0.845";"1.000"
"GO:1901576";"0.855";"1.000"
"GO:0009058";"0.876";"1.000"
"GO:0044237";"0.905";"1.000"
"GO:0043170";"0.921";"1.000"
"GO:0071704";"0.936";"1.000"
"GO:0044238";"0.971";"1.000"
"GO:0006807";"0.981";"1.000"
"GO:0009987";"0.982";"1.000"
"GO:0008150";"1.000";"1.000"
"GO:0000002";"1.000";"1.000"
"GO:0000003";"1.000";"1.000"
"GO:0000041";"1.000";"1.000"
"GO:0000045";"1.000";"1.000"
"GO:0000070";"1.000";"1.000"
"GO:0000079";"1.000";"1.000"
"GO:0000096";"1.000";"1.000"
"GO:0000097";"1.000";"1.000"
"GO:0000103";"1.000";"1.000"
"GO:0000105";"1.000";"1.000"
"GO:0000154";"1.000";"1.000"
"GO:0000160";"1.000";"1.000"
"GO:0000162";"1.000";"1.000"
"GO:0000226";"1.000";"1.000"
"GO:0000245";"1.000";"1.000"
"GO:0000255";"1.000";"1.000"
"GO:0000256";"1.000";"1.000"
"GO:0000270";"1.000";"1.000"
"GO:0000271";"1.000";"1.000"
"GO:0000272";"1.000";"1.000"
"GO:0000278";"1.000";"1.000"
"GO:0000280";"1.000";"1.000"
"GO:0000288";"1.000";"1.000"
"GO:0000290";"1.000";"1.000"
"GO:0000302";"1.000";"1.000"
"GO:0000303";"1.000";"1.000"
"GO:0000305";"1.000";"1.000"
"GO:0000375";"1.000";"1.000"
"GO:0000377";"1.000";"1.000"
"GO:0000394";"1.000";"1.000"
"GO:0000398";"1.000";"1.000"
"GO:0000723";"1.000";"1.000"
"GO:0000819";"1.000";"1.000"
"GO:0000956";"1.000";"1.000"
"GO:0000966";"1.000";"1.000"
"GO:0001522";"1.000";"1.000"
"GO:0001682";"1.000";"1.000"
"GO:0001932";"1.000";"1.000"
"GO:0002181";"1.000";"1.000"
"GO:0002182";"1.000";"1.000"
"GO:0003008";"1.000";"1.000"
"GO:0005976";"1.000";"1.000"
"GO:0005977";"1.000";"1.000"
"GO:0005978";"1.000";"1.000"
"GO:0005984";"1.000";"1.000"
"GO:0005991";"1.000";"1.000"
"GO:0005992";"1.000";"1.000"
"GO:0005993";"1.000";"1.000"
"GO:0005996";"1.000";"1.000"
"GO:0006006";"1.000";"1.000"
"GO:0006007";"1.000";"1.000"
"GO:0006012";"1.000";"1.000"
"GO:0006013";"1.000";"1.000"
"GO:0006014";"1.000";"1.000"
"GO:0006020";"1.000";"1.000"
"GO:0006021";"1.000";"1.000"
"GO:0006022";"1.000";"1.000"
"GO:0006023";"1.000";"1.000"
"GO:0006026";"1.000";"1.000"
"GO:0006027";"1.000";"1.000"
"GO:0006030";"1.000";"1.000"
"GO:0006031";"1.000";"1.000"
"GO:0006032";"1.000";"1.000"
"GO:0006040";"1.000";"1.000"
"GO:0006044";"1.000";"1.000"
"GO:0006066";"1.000";"1.000"
"GO:0006071";"1.000";"1.000"
"GO:0006072";"1.000";"1.000"
"GO:0006073";"1.000";"1.000"
"GO:0006074";"1.000";"1.000"
"GO:0006075";"1.000";"1.000"
"GO:0006081";"1.000";"1.000"
"GO:0006090";"1.000";"1.000"
"GO:0006091";"1.000";"1.000"
"GO:0006094";"1.000";"1.000"
"GO:0006096";"1.000";"1.000"
"GO:0006097";"1.000";"1.000"
"GO:0006098";"1.000";"1.000"
"GO:0006099";"1.000";"1.000"
"GO:0006106";"1.000";"1.000"
"GO:0006108";"1.000";"1.000"
"GO:0006112";"1.000";"1.000"
"GO:0006119";"1.000";"1.000"
"GO:0006120";"1.000";"1.000"
"GO:0006122";"1.000";"1.000"
"GO:0006140";"1.000";"1.000"
"GO:0006144";"1.000";"1.000"
"GO:0006163";"1.000";"1.000"
"GO:0006164";"1.000";"1.000"
"GO:0006165";"1.000";"1.000"
"GO:0006168";"1.000";"1.000"
"GO:0006177";"1.000";"1.000"
"GO:0006183";"1.000";"1.000"
"GO:0006188";"1.000";"1.000"
"GO:0006189";"1.000";"1.000"
"GO:0006195";"1.000";"1.000"
"GO:0006198";"1.000";"1.000"
"GO:0006206";"1.000";"1.000"
"GO:0006207";"1.000";"1.000"
"GO:0006213";"1.000";"1.000"
"GO:0006220";"1.000";"1.000"
"GO:0006221";"1.000";"1.000"
"GO:0006222";"1.000";"1.000"
"GO:0006228";"1.000";"1.000"
"GO:0006231";"1.000";"1.000"
"GO:0006241";"1.000";"1.000"
"GO:0006260";"1.000";"1.000"
"GO:0006261";"1.000";"1.000"
"GO:0006265";"1.000";"1.000"
"GO:0006268";"1.000";"1.000"
"GO:0006269";"1.000";"1.000"
"GO:0006270";"1.000";"1.000"
"GO:0006275";"1.000";"1.000"
"GO:0006278";"1.000";"1.000"
"GO:0006284";"1.000";"1.000"
"GO:0006289";"1.000";"1.000"
"GO:0006298";"1.000";"1.000"
"GO:0006304";"1.000";"1.000"
"GO:0006305";"1.000";"1.000"
"GO:0006306";"1.000";"1.000"
"GO:0006308";"1.000";"1.000"
"GO:0006310";"1.000";"1.000"
"GO:0006313";"1.000";"1.000"
"GO:0006325";"1.000";"1.000"
"GO:0006334";"1.000";"1.000"
"GO:0006338";"1.000";"1.000"
"GO:0006352";"1.000";"1.000"
"GO:0006354";"1.000";"1.000"
"GO:0006357";"1.000";"1.000"
"GO:0006364";"1.000";"1.000"
"GO:0006366";"1.000";"1.000"
"GO:0006367";"1.000";"1.000"
"GO:0006370";"1.000";"1.000"
"GO:0006379";"1.000";"1.000"
"GO:0006383";"1.000";"1.000"
"GO:0006388";"1.000";"1.000"
