"GO.ID";"classicFisher";"weighted"
"GO:0006816";"0.0015";"0.0015"
"GO:0030001";"0.0032";"1.0000"
"GO:0005975";"0.0089";"0.0141"
"GO:0000041";"0.0104";"1.0000"
"GO:0006812";"0.0131";"1.0000"
"GO:0006562";"0.0160";"0.0160"
"GO:0006826";"0.0160";"0.0160"
"GO:0009065";"0.0160";"1.0000"
"GO:0009310";"0.0160";"0.0160"
"GO:0019722";"0.0160";"0.0160"
"GO:0019932";"0.0160";"1.0000"
"GO:0006811";"0.0307";"1.0000"
"GO:0006303";"0.0318";"0.0318"
"GO:0006537";"0.0318";"0.0318"
"GO:0006829";"0.0318";"0.0318"
"GO:0043650";"0.0318";"1.0000"
"GO:1901575";"0.0386";"1.0000"
"GO:0009056";"0.0424";"1.0000"
"GO:0006302";"0.0473";"1.0000"
"GO:0006536";"0.0473";"1.0000"
"GO:0009395";"0.0626";"0.0626"
"GO:0000272";"0.0777";"0.0777"
"GO:0044242";"0.0777";"1.0000"
"GO:0006560";"0.0925";"1.0000"
"GO:0006810";"0.1069";"0.1055"
"GO:0009063";"0.1070";"1.0000"
"GO:0009636";"0.1070";"0.1070"
"GO:1901606";"0.1070";"1.0000"
"GO:0051234";"0.1096";"1.0000"
"GO:0051179";"0.1137";"1.0000"
"GO:0016042";"0.1214";"1.0000"
"GO:0043648";"0.1214";"1.0000"
"GO:0016054";"0.1355";"1.0000"
"GO:0046395";"0.1355";"1.0000"
"GO:0005976";"0.1494";"1.0000"
"GO:0044282";"0.1494";"1.0000"
"GO:0046434";"0.1494";"1.0000"
"GO:0051258";"0.1494";"0.1494"
"GO:1901565";"0.1578";"1.0000"
"GO:0006032";"0.1631";"0.1631"
"GO:0046348";"0.1631";"1.0000"
"GO:1901072";"0.1631";"1.0000"
"GO:0006026";"0.1898";"1.0000"
"GO:0008643";"0.1963";"0.1963"
"GO:0006030";"0.2028";"1.0000"
"GO:0006022";"0.2283";"1.0000"
"GO:0006040";"0.2283";"1.0000"
"GO:0009084";"0.2283";"1.0000"
"GO:0042221";"0.2283";"1.0000"
"GO:1901071";"0.2283";"1.0000"
"GO:0016052";"0.2407";"1.0000"
"GO:0009064";"0.2530";"1.0000"
"GO:0009308";"0.2530";"1.0000"
"GO:1901136";"0.2530";"1.0000"
"GO:0065003";"0.3113";"1.0000"
"GO:0006508";"0.3258";"0.3258"
"GO:0009057";"0.3277";"1.0000"
"GO:0043933";"0.3548";"1.0000"
"GO:0022607";"0.3856";"1.0000"
"GO:0044248";"0.3863";"1.0000"
"GO:0006644";"0.4149";"1.0000"
"GO:0006629";"0.5017";"1.0000"
"GO:0008610";"0.5033";"0.5033"
"GO:1901607";"0.5033";"1.0000"
"GO:0008652";"0.5644";"1.0000"
"GO:0044085";"0.6181";"1.0000"
"GO:0006281";"0.6366";"1.0000"
"GO:0044255";"0.6366";"1.0000"
"GO:0046394";"0.6366";"1.0000"
"GO:0006974";"0.6425";"1.0000"
"GO:0033554";"0.6484";"1.0000"
"GO:0035556";"0.6484";"1.0000"
"GO:1901605";"0.6598";"1.0000"
"GO:0016053";"0.7164";"1.0000"
"GO:0016043";"0.7302";"1.0000"
"GO:0051716";"0.7583";"1.0000"
"GO:0050896";"0.7606";"1.0000"
"GO:0006950";"0.7790";"1.0000"
"GO:0006355";"0.7919";"0.7919"
"GO:1903506";"0.7919";"1.0000"
"GO:2001141";"0.7919";"1.0000"
"GO:0051252";"0.7939";"1.0000"
"GO:0019219";"0.8000";"1.0000"
"GO:0009889";"0.8039";"1.0000"
"GO:0010468";"0.8039";"1.0000"
"GO:0010556";"0.8039";"1.0000"
"GO:0031326";"0.8039";"1.0000"
"GO:0031323";"0.8135";"1.0000"
"GO:0007165";"0.8161";"1.0000"
"GO:0023052";"0.8161";"1.0000"
"GO:0044283";"0.8161";"1.0000"
"GO:0006351";"0.8209";"1.0000"
"GO:0097659";"0.8209";"1.0000"
"GO:0032774";"0.8245";"1.0000"
"GO:0071840";"0.8337";"1.0000"
"GO:0008152";"0.8503";"0.3014"
"GO:0006259";"0.8521";"1.0000"
"GO:0050794";"0.8563";"1.0000"
"GO:0019637";"0.8594";"1.0000"
"GO:0007154";"0.8686";"1.0000"
"GO:0071702";"0.8719";"1.0000"
"GO:1901135";"0.8771";"1.0000"
"GO:0006468";"0.9014";"0.9014"
"GO:0034654";"0.9050";"1.0000"
"GO:0006520";"0.9154";"1.0000"
"GO:0060255";"0.9163";"1.0000"
"GO:0019222";"0.9172";"1.0000"
"GO:0051171";"0.9172";"1.0000"
"GO:0080090";"0.9172";"1.0000"
"GO:0016310";"0.9249";"1.0000"
"GO:0019438";"0.9398";"1.0000"
"GO:0018130";"0.9427";"1.0000"
"GO:0050789";"0.9507";"1.0000"
"GO:0006793";"0.9522";"1.0000"
"GO:0006796";"0.9522";"1.0000"
"GO:1901362";"0.9535";"1.0000"
"GO:0019752";"0.9558";"1.0000"
"GO:0043436";"0.9558";"1.0000"
"GO:0006082";"0.9566";"1.0000"
"GO:0065007";"0.9625";"1.0000"
"GO:0016070";"0.9690";"1.0000"
"GO:0044238";"0.9701";"1.0000"
"GO:0090304";"0.9783";"1.0000"
"GO:0071704";"0.9789";"1.0000"
"GO:0019538";"0.9839";"1.0000"
"GO:0009059";"0.9853";"1.0000"
"GO:0009058";"0.9873";"0.4995"
"GO:0036211";"0.9874";"1.0000"
"GO:0043412";"0.9900";"1.0000"
"GO:1901564";"0.9910";"1.0000"
"GO:0043170";"0.9918";"1.0000"
"GO:1901576";"0.9926";"1.0000"
"GO:0010467";"0.9937";"1.0000"
"GO:0044271";"0.9947";"1.0000"
"GO:0006139";"0.9958";"1.0000"
"GO:0044249";"0.9972";"1.0000"
"GO:0044281";"0.9975";"1.0000"
"GO:1901566";"0.9976";"1.0000"
"GO:0044260";"0.9980";"1.0000"
"GO:0046483";"0.9981";"1.0000"
"GO:0006725";"0.9989";"1.0000"
"GO:1901360";"0.9989";"1.0000"
"GO:0006807";"0.9997";"1.0000"
"GO:0034641";"0.9998";"1.0000"
"GO:0044237";"1.0000";"0.7887"
"GO:0009987";"1.0000";"1.0000"
"GO:0008150";"1.0000";"1.0000"
"GO:0000002";"1.0000";"1.0000"
"GO:0000003";"1.0000";"1.0000"
"GO:0000045";"1.0000";"1.0000"
"GO:0000070";"1.0000";"1.0000"
"GO:0000079";"1.0000";"1.0000"
"GO:0000096";"1.0000";"1.0000"
"GO:0000097";"1.0000";"1.0000"
"GO:0000103";"1.0000";"1.0000"
"GO:0000105";"1.0000";"1.0000"
"GO:0000154";"1.0000";"1.0000"
"GO:0000160";"1.0000";"1.0000"
"GO:0000162";"1.0000";"1.0000"
"GO:0000226";"1.0000";"1.0000"
"GO:0000245";"1.0000";"1.0000"
"GO:0000255";"1.0000";"1.0000"
"GO:0000256";"1.0000";"1.0000"
"GO:0000270";"1.0000";"1.0000"
"GO:0000271";"1.0000";"1.0000"
"GO:0000278";"1.0000";"1.0000"
"GO:0000280";"1.0000";"1.0000"
"GO:0000288";"1.0000";"1.0000"
"GO:0000290";"1.0000";"1.0000"
"GO:0000302";"1.0000";"1.0000"
"GO:0000303";"1.0000";"1.0000"
"GO:0000305";"1.0000";"1.0000"
"GO:0000375";"1.0000";"1.0000"
"GO:0000377";"1.0000";"1.0000"
"GO:0000394";"1.0000";"1.0000"
"GO:0000398";"1.0000";"1.0000"
"GO:0000723";"1.0000";"1.0000"
"GO:0000819";"1.0000";"1.0000"
"GO:0000956";"1.0000";"1.0000"
"GO:0000966";"1.0000";"1.0000"
"GO:0001522";"1.0000";"1.0000"
