"GO.ID";"classicFisher";"weighted"
"GO:0046873";"0.0021";"1.0000"
"GO:0005388";"0.0023";"0.0023"
"GO:0015085";"0.0023";"1.0000"
"GO:0004553";"0.0040";"1.0000"
"GO:0046915";"0.0047";"1.0000"
"GO:0016798";"0.0058";"1.0000"
"GO:0008447";"0.0062";"0.0062"
"GO:0016682";"0.0062";"1.0000"
"GO:0030246";"0.0096";"0.0185"
"GO:0016787";"0.0123";"0.1722"
"GO:0042626";"0.0132";"1.0000"
"GO:0016747";"0.0134";"1.0000"
"GO:0022890";"0.0134";"1.0000"
"GO:0016679";"0.0140";"1.0000"
"GO:0140359";"0.0149";"1.0000"
"GO:0004649";"0.0154";"0.0154"
"GO:0004657";"0.0154";"0.0154"
"GO:0005381";"0.0154";"0.0154"
"GO:0008660";"0.0154";"0.0154"
"GO:0016162";"0.0154";"0.0154"
"GO:0018528";"0.0154";"0.0154"
"GO:0043754";"0.0154";"0.0154"
"GO:0005215";"0.0164";"0.4383"
"GO:0022857";"0.0182";"1.0000"
"GO:0008324";"0.0183";"1.0000"
"GO:0022804";"0.0184";"1.0000"
"GO:0016746";"0.0208";"1.0000"
"GO:0008559";"0.0216";"0.0216"
"GO:0042910";"0.0216";"1.0000"
"GO:0015318";"0.0257";"1.0000"
"GO:0015399";"0.0275";"1.0000"
"GO:0003960";"0.0275";"0.0275"
"GO:0005507";"0.0275";"0.0275"
"GO:0003863";"0.0306";"0.0306"
"GO:0004034";"0.0306";"0.0306"
"GO:0004092";"0.0306";"0.0306"
"GO:0004503";"0.0306";"0.0306"
"GO:0005385";"0.0306";"0.0306"
"GO:0016649";"0.0306";"1.0000"
"GO:0018784";"0.0306";"0.0306"
"GO:0033946";"0.0306";"0.0306"
"GO:0004568";"0.0339";"0.0153"
"GO:0015075";"0.0396";"1.0000"
"GO:0031177";"0.0408";"0.0408"
"GO:0072341";"0.0408";"1.0000"
"GO:0008825";"0.0456";"0.0456"
"GO:0009044";"0.0456";"0.0456"
"GO:0052736";"0.0456";"1.0000"
"GO:0015662";"0.0482";"1.0000"
"GO:0140358";"0.0482";"1.0000"
"GO:0016887";"0.0545";"0.0545"
"GO:0004497";"0.0561";"0.0626"
"GO:0004312";"0.0601";"0.1686"
"GO:0016655";"0.0601";"1.0000"
"GO:0004555";"0.0603";"0.0603"
"GO:0016824";"0.0603";"1.0000"
"GO:0019120";"0.0603";"1.0000"
"GO:0008236";"0.0643";"0.2760"
"GO:0017171";"0.0643";"1.0000"
"GO:0033218";"0.0729";"1.0000"
"GO:0004185";"0.0748";"0.0748"
"GO:0015927";"0.0748";"1.0000"
"GO:0016406";"0.0748";"1.0000"
"GO:0016629";"0.0748";"0.0748"
"GO:0016716";"0.0748";"1.0000"
"GO:0016857";"0.0748";"1.0000"
"GO:0005506";"0.0821";"0.0821"
"GO:0019829";"0.0865";"1.0000"
"GO:0004180";"0.0891";"1.0000"
"GO:0004301";"0.0891";"0.0891"
"GO:0004326";"0.0891";"0.0891"
"GO:0016624";"0.0891";"1.0000"
"GO:0070008";"0.0891";"1.0000"
"GO:0097599";"0.0891";"1.0000"
"GO:0020037";"0.0958";"0.0958"
"GO:0046906";"0.0958";"1.0000"
"GO:0004622";"0.1032";"0.1032"
"GO:0008967";"0.1032";"0.1032"
"GO:0016854";"0.1032";"1.0000"
"GO:0003824";"0.1042";"0.7468"
"GO:0005509";"0.1058";"0.1058"
"GO:0022853";"0.1079";"1.0000"
"GO:0016491";"0.1128";"0.8316"
"GO:0016407";"0.1150";"1.0000"
"GO:0033961";"0.1171";"0.1171"
"GO:0016803";"0.1307";"1.0000"
"GO:0016651";"0.1312";"1.0000"
"GO:0008688";"0.1441";"0.1441"
"GO:0008810";"0.1441";"0.1441"
"GO:0016801";"0.1441";"1.0000"
"GO:0018471";"0.1441";"0.1441"
"GO:0018630";"0.1441";"0.1441"
"GO:0018631";"0.1441";"0.1441"
"GO:0018632";"0.1441";"0.1441"
"GO:0018633";"0.1441";"0.1441"
"GO:0018634";"0.1441";"0.1441"
"GO:0018635";"0.1441";"0.1441"
"GO:0018636";"0.1441";"0.1441"
"GO:0018637";"0.1441";"0.1441"
"GO:0018638";"0.1441";"0.1441"
"GO:0018639";"0.1441";"0.1441"
"GO:0018640";"0.1441";"0.1441"
"GO:0018641";"0.1441";"0.1441"
"GO:0018642";"0.1441";"0.1441"
"GO:0018643";"0.1441";"0.1441"
"GO:0018644";"0.1441";"0.1441"
"GO:0018646";"0.1441";"0.1441"
"GO:0018647";"0.1441";"0.1441"
"GO:0018648";"0.1441";"0.1441"
"GO:0018649";"0.1441";"0.1441"
"GO:0018650";"0.1441";"0.1441"
"GO:0018651";"0.1441";"0.1441"
"GO:0018652";"0.1441";"0.1441"
"GO:0018653";"0.1441";"0.1441"
"GO:0018654";"0.1441";"0.1441"
"GO:0018655";"0.1441";"0.1441"
"GO:0018656";"0.1441";"0.1441"
"GO:0018657";"0.1441";"0.1441"
"GO:0019113";"0.1441";"1.0000"
"GO:0043719";"0.1441";"0.1441"
"GO:0043731";"0.1441";"0.1441"
"GO:0016413";"0.1574";"1.0000"
"GO:0019842";"0.1648";"1.0000"
"GO:0000907";"0.1704";"0.1704"
"GO:0018602";"0.1704";"0.1704"
"GO:0043734";"0.1704";"0.1704"
"GO:0016298";"0.1743";"1.0000"
"GO:0016645";"0.1832";"1.0000"
"GO:0005351";"0.1854";"0.1854"
"GO:0005402";"0.1854";"1.0000"
"GO:0015144";"0.1854";"1.0000"
"GO:0015295";"0.1854";"1.0000"
"GO:0046872";"0.1934";"1.0000"
"GO:0004316";"0.1959";"0.1959"
"GO:0004806";"0.1959";"0.1959"
"GO:0015293";"0.1966";"1.0000"
"GO:0015294";"0.1966";"1.0000"
"GO:0043169";"0.2017";"1.0000"
"GO:0016881";"0.2083";"1.0000"
"GO:0019798";"0.2083";"0.2083"
"GO:0030247";"0.2083";"1.0000"
"GO:0030248";"0.2083";"0.2083"
"GO:0031543";"0.2083";"1.0000"
"GO:0008374";"0.2206";"1.0000"
"GO:0004190";"0.2327";"0.2327"
"GO:0015462";"0.2327";"0.2327"
"GO:0017116";"0.2327";"0.2327"
"GO:0070001";"0.2327";"1.0000"
"GO:0008843";"0.2445";"0.2445"
"GO:0046914";"0.2456";"1.0000"
"GO:0017111";"0.2461";"0.8073"
"GO:0052689";"0.2538";"1.0000"
"GO:0003678";"0.2562";"1.0000"
"GO:0140657";"0.2568";"1.0000"
"GO:0008080";"0.2653";"0.2653"
"GO:0015291";"0.2710";"1.0000"
"GO:0008186";"0.2791";"0.2791"
"GO:0008238";"0.2791";"1.0000"
"GO:0008422";"0.2791";"0.2791"
"GO:0019239";"0.2791";"1.0000"
"GO:0015020";"0.2903";"0.2903"
"GO:0016410";"0.2998";"1.0000"
"GO:0008320";"0.3121";"1.0000"
