"GO.ID";"classicFisher";"weighted"
"GO:0005975";"6.4e-10";"1.3e-13"
"GO:0008643";"6.2e-06";"6.2e-06"
"GO:0000041";"0.00011";"1.0000"
"GO:0009116";"0.00184";"0.0018"
"GO:1901657";"0.00184";"1.0000"
"GO:0006825";"0.00566";"0.0057"
"GO:1901615";"0.00624";"1.0000"
"GO:0006885";"0.00790";"0.0079"
"GO:0055067";"0.00790";"1.0000"
"GO:0051345";"0.00910";"1.0000"
"GO:0051346";"0.00910";"1.0000"
"GO:0051421";"0.00910";"1.0000"
"GO:0051422";"0.00910";"0.0091"
"GO:0051423";"0.00910";"0.0091"
"GO:0006865";"0.01148";"0.0115"
"GO:0015849";"0.01148";"1.0000"
"GO:0006810";"0.01220";"2.5e-05"
"GO:0051234";"0.01413";"1.0000"
"GO:0051179";"0.01750";"1.0000"
"GO:0030001";"0.02150";"0.6504"
"GO:0006979";"0.02253";"0.0225"
"GO:0006066";"0.02599";"0.0207"
"GO:0006811";"0.02860";"1.0000"
"GO:0006817";"0.03070";"0.0307"
"GO:0007040";"0.03070";"0.0307"
"GO:0080171";"0.03070";"1.0000"
"GO:0042221";"0.03301";"1.0000"
"GO:0006665";"0.03859";"0.0648"
"GO:0009636";"0.03859";"0.0386"
"GO:0048878";"0.03859";"1.0000"
"GO:0050801";"0.03859";"1.0000"
"GO:0055080";"0.03859";"1.0000"
"GO:0098771";"0.03859";"1.0000"
"GO:0006829";"0.04363";"0.0436"
"GO:0006812";"0.04424";"0.5757"
"GO:0000272";"0.06492";"0.5043"
"GO:0006915";"0.06492";"0.0649"
"GO:0007033";"0.06492";"1.0000"
"GO:0008219";"0.06492";"1.0000"
"GO:0012501";"0.06492";"1.0000"
"GO:0015698";"0.08473";"1.0000"
"GO:0006355";"0.08716";"0.0872"
"GO:1903506";"0.08716";"1.0000"
"GO:2001141";"0.08716";"1.0000"
"GO:0051252";"0.09216";"1.0000"
"GO:0006508";"0.09842";"0.0035"
"GO:0019219";"0.10837";"1.0000"
"GO:0006302";"0.11270";"0.2088"
"GO:0006857";"0.11270";"0.1127"
"GO:0009712";"0.11270";"0.1127"
"GO:0015833";"0.11270";"1.0000"
"GO:0042886";"0.11270";"1.0000"
"GO:0006820";"0.11493";"1.0000"
"GO:0033013";"0.11493";"1.0000"
"GO:0009889";"0.12019";"1.0000"
"GO:0010468";"0.12019";"1.0000"
"GO:0010556";"0.12019";"1.0000"
"GO:0031326";"0.12019";"1.0000"
"GO:0031323";"0.15338";"1.0000"
"GO:0006284";"0.16366";"0.1637"
"GO:0006351";"0.18365";"1.0000"
"GO:0097659";"0.18365";"1.0000"
"GO:0006643";"0.18776";"1.0000"
"GO:0009086";"0.19470";"0.1947"
"GO:0018958";"0.19470";"1.0000"
"GO:0042168";"0.19470";"1.0000"
"GO:0042440";"0.19470";"1.0000"
"GO:0043414";"0.19470";"1.0000"
"GO:0032774";"0.20000";"1.0000"
"GO:0006471";"0.20902";"0.2090"
"GO:0006481";"0.20902";"0.2090"
"GO:0006577";"0.20902";"1.0000"
"GO:0006578";"0.20902";"1.0000"
"GO:0006787";"0.20902";"1.0000"
"GO:0006788";"0.20902";"0.2090"
"GO:0006826";"0.20902";"0.2090"
"GO:0006909";"0.20902";"0.2090"
"GO:0007155";"0.20902";"0.2090"
"GO:0009437";"0.20902";"1.0000"
"GO:0010383";"0.20902";"1.0000"
"GO:0010410";"0.20902";"1.0000"
"GO:0010498";"0.20902";"1.0000"
"GO:0015703";"0.20902";"0.2090"
"GO:0018410";"0.20902";"1.0000"
"GO:0033015";"0.20902";"1.0000"
"GO:0042120";"0.20902";"1.0000"
"GO:0042122";"0.20902";"0.2090"
"GO:0043161";"0.20902";"0.2090"
"GO:0044247";"0.20902";"1.0000"
"GO:0044347";"0.20902";"1.0000"
"GO:0045329";"0.20902";"0.2090"
"GO:0045491";"0.20902";"1.0000"
"GO:0045493";"0.20902";"0.2090"
"GO:2000895";"0.20902";"1.0000"
"GO:0032259";"0.22305";"0.6080"
"GO:0044270";"0.22566";"1.0000"
"GO:0046700";"0.22566";"1.0000"
"GO:0042592";"0.22909";"1.0000"
"GO:0033014";"0.22958";"0.0650"
"GO:1901361";"0.26410";"1.0000"
"GO:0006950";"0.27208";"0.0529"
"GO:0006575";"0.28054";"1.0000"
"GO:0009166";"0.28122";"0.2812"
"GO:0016125";"0.28122";"0.2812"
"GO:1901292";"0.28122";"1.0000"
"GO:0016999";"0.28573";"1.0000"
"GO:0017001";"0.28573";"1.0000"
"GO:0030653";"0.28573";"1.0000"
"GO:0030655";"0.28573";"0.2857"
"GO:0046677";"0.28573";"0.2857"
"GO:0072338";"0.28573";"1.0000"
"GO:0072340";"0.28573";"1.0000"
"GO:0006629";"0.32622";"0.2205"
"GO:0005976";"0.34950";"1.0000"
"GO:0009067";"0.34950";"1.0000"
"GO:0043605";"0.34950";"1.0000"
"GO:0046434";"0.34950";"1.0000"
"GO:0051336";"0.34950";"1.0000"
"GO:0072330";"0.34950";"1.0000"
"GO:0006555";"0.36680";"1.0000"
"GO:0006633";"0.36680";"0.3668"
"GO:0006801";"0.36680";"0.3668"
"GO:0044264";"0.36680";"1.0000"
"GO:0072593";"0.36680";"1.0000"
"GO:0006222";"0.37440";"0.3744"
"GO:0006303";"0.37440";"0.3744"
"GO:0006305";"0.37440";"1.0000"
"GO:0006306";"0.37440";"0.3744"
"GO:0006479";"0.37440";"1.0000"
"GO:0006537";"0.37440";"0.3744"
"GO:0006553";"0.37440";"1.0000"
"GO:0006564";"0.37440";"0.3744"
"GO:0006672";"0.37440";"0.3744"
"GO:0006750";"0.37440";"0.3744"
"GO:0006768";"0.37440";"1.0000"
"GO:0006855";"0.37440";"0.3744"
"GO:0007205";"0.37440";"0.3744"
"GO:0008213";"0.37440";"1.0000"
"GO:0009085";"0.37440";"0.3744"
"GO:0009102";"0.37440";"0.3744"
"GO:0009173";"0.37440";"1.0000"
"GO:0009174";"0.37440";"1.0000"
"GO:0009448";"0.37440";"0.3744"
"GO:0015936";"0.37440";"0.3744"
"GO:0019184";"0.37440";"1.0000"
"GO:0031123";"0.37440";"0.3744"
"GO:0033865";"0.37440";"1.0000"
"GO:0033875";"0.37440";"1.0000"
"GO:0034032";"0.37440";"1.0000"
"GO:0042908";"0.37440";"1.0000"
"GO:0043631";"0.37440";"0.3744"
"GO:0043650";"0.37440";"1.0000"
"GO:0044275";"0.37440";"1.0000"
"GO:0044728";"0.37440";"1.0000"
"GO:0046049";"0.37440";"1.0000"
"GO:0065008";"0.40983";"1.0000"
"GO:0006032";"0.41257";"0.4126"
"GO:0019439";"0.41257";"1.0000"
"GO:0042398";"0.41257";"1.0000"
"GO:0046348";"0.41257";"1.0000"
"GO:1901072";"0.41257";"1.0000"
"GO:0006476";"0.44806";"0.4481"
"GO:0006760";"0.44806";"0.2091"
"GO:0035601";"0.44806";"1.0000"
"GO:0042558";"0.44806";"1.0000"
"GO:0098732";"0.44806";"1.0000"
"GO:0044262";"0.49988";"0.8466"
"GO:0006071";"0.50525";"0.5052"
"GO:0006072";"0.50525";"0.5052"
"GO:0006094";"0.50525";"0.5052"
"GO:0006207";"0.50525";"0.5052"
"GO:0006536";"0.50525";"1.0000"
"GO:0006730";"0.50525";"0.5052"
"GO:0006749";"0.50525";"1.0000"
"GO:0006783";"0.50525";"0.5052"
"GO:0006814";"0.50525";"0.5052"
"GO:0006914";"0.50525";"0.5052"
"GO:0008272";"0.50525";"0.5052"
"GO:0009129";"0.50525";"1.0000"
"GO:0009130";"0.50525";"1.0000"
"GO:0009218";"0.50525";"1.0000"
"GO:0009220";"0.50525";"1.0000"
"GO:0016998";"0.50525";"1.0000"
"GO:0019400";"0.50525";"1.0000"
"GO:0044036";"0.50525";"1.0000"
"GO:0046148";"0.50525";"1.0000"
"GO:0052646";"0.50525";"1.0000"
"GO:0061919";"0.50525";"1.0000"
"GO:0072348";"0.50525";"1.0000"
"GO:0006289";"0.52307";"0.5231"
"GO:0006720";"0.52307";"1.0000"
"GO:0006778";"0.52307";"1.0000"
"GO:0008299";"0.52307";"0.5231"
"GO:0034655";"0.52307";"1.0000"
"GO:0043648";"0.52307";"1.0000"
"GO:0006026";"0.53147";"1.0000"
"GO:0009066";"0.53147";"1.0000"
"GO:0044272";"0.53770";"1.0000"
"GO:0044255";"0.54596";"1.0000"
"GO:0008610";"0.55909";"0.5234"
"GO:0006030";"0.58561";"1.0000"
"GO:0000097";"0.59088";"1.0000"
