"GO.ID";"classicFisher";"weighted"
"GO:0004553";"5.5e-17";"0.00172"
"GO:0016798";"1.4e-16";"1.00000"
"GO:0005506";"4.1e-12";"3.6e-11"
"GO:0015291";"2.9e-09";"1.00000"
"GO:0004497";"8.4e-09";"0.00045"
"GO:0005215";"1.8e-08";"0.00019"
"GO:0003824";"4.2e-08";"6.4e-07"
"GO:0016491";"8.8e-08";"0.08598"
"GO:0030247";"1.2e-07";"1.00000"
"GO:0030248";"1.2e-07";"1.2e-07"
"GO:0030246";"3.5e-07";"0.11962"
"GO:0020037";"7.2e-07";"7.2e-07"
"GO:0046906";"7.2e-07";"1.00000"
"GO:0016787";"1.7e-06";"0.07985"
"GO:0015293";"1.7e-06";"1.00000"
"GO:0015294";"1.7e-06";"1.00000"
"GO:0022857";"3.2e-06";"1.00000"
"GO:0005351";"1.0e-05";"1.0e-05"
"GO:0005402";"1.0e-05";"1.00000"
"GO:0015144";"1.0e-05";"1.00000"
"GO:0015295";"1.0e-05";"1.00000"
"GO:0015318";"1.3e-05";"1.00000"
"GO:0046915";"2.0e-05";"1.00000"
"GO:0022890";"8.8e-05";"1.00000"
"GO:0004104";"9.4e-05";"0.00044"
"GO:0097599";"9.4e-05";"1.00000"
"GO:0018664";"0.00011";"0.00011"
"GO:0016709";"0.00011";"1.00000"
"GO:0008324";"0.00013";"0.59214"
"GO:0015075";"0.00031";"1.00000"
"GO:0008422";"0.00036";"0.00028"
"GO:0050660";"0.00045";"0.00045"
"GO:0015926";"0.00073";"1.00000"
"GO:0016705";"0.00079";"1.00000"
"GO:0016722";"0.00092";"1.00000"
"GO:0008559";"0.00128";"0.00128"
"GO:0042910";"0.00128";"1.00000"
"GO:0000293";"0.00130";"0.00130"
"GO:0008810";"0.00130";"0.00130"
"GO:0022804";"0.00135";"1.00000"
"GO:0046914";"0.00143";"0.94601"
"GO:0031177";"0.00169";"0.00169"
"GO:0072341";"0.00169";"1.00000"
"GO:0005375";"0.00208";"0.00208"
"GO:0052689";"0.00402";"1.00000"
"GO:0046873";"0.00465";"0.71678"
"GO:0015297";"0.00630";"0.38085"
"GO:0005342";"0.00699";"1.00000"
"GO:0046943";"0.00699";"1.00000"
"GO:0005451";"0.00862";"1.00000"
"GO:0015298";"0.00862";"1.00000"
"GO:0015299";"0.00862";"0.00862"
"GO:0015927";"0.00862";"1.00000"
"GO:0043169";"0.00919";"0.60412"
"GO:0005315";"0.00975";"0.00975"
"GO:0008482";"0.00975";"0.00975"
"GO:0009044";"0.00975";"0.00975"
"GO:0031176";"0.00975";"0.00975"
"GO:0050525";"0.00975";"0.00975"
"GO:0004601";"0.00982";"0.28908"
"GO:0016684";"0.00982";"1.00000"
"GO:0046872";"0.01077";"0.41812"
"GO:0016209";"0.01168";"1.00000"
"GO:0022853";"0.01183";"1.00000"
"GO:0015078";"0.01214";"1.00000"
"GO:0016614";"0.01254";"0.61188"
"GO:0010181";"0.01403";"0.01403"
"GO:0015171";"0.01403";"0.01403"
"GO:0140359";"0.01838";"1.00000"
"GO:0004043";"0.02149";"0.02149"
"GO:0004301";"0.02149";"0.02149"
"GO:0047750";"0.02149";"0.02149"
"GO:0004096";"0.02575";"0.02575"
"GO:0033218";"0.03090";"1.00000"
"GO:0004348";"0.03275";"0.03275"
"GO:0004555";"0.03275";"0.03275"
"GO:0008199";"0.03275";"0.03275"
"GO:0016899";"0.03275";"1.00000"
"GO:0051118";"0.03275";"0.03275"
"GO:0003700";"0.03763";"0.03763"
"GO:0016887";"0.03934";"0.03934"
"GO:0004567";"0.04174";"0.06883"
"GO:0015081";"0.04174";"1.00000"
"GO:0015929";"0.04174";"1.00000"
"GO:0008688";"0.04259";"0.04259"
"GO:0008812";"0.04259";"0.04259"
"GO:0018471";"0.04259";"0.04259"
"GO:0018630";"0.04259";"0.04259"
"GO:0018631";"0.04259";"0.04259"
"GO:0018632";"0.04259";"0.04259"
"GO:0018633";"0.04259";"0.04259"
"GO:0018634";"0.04259";"0.04259"
"GO:0018635";"0.04259";"0.04259"
"GO:0018636";"0.04259";"0.04259"
"GO:0018637";"0.04259";"0.04259"
"GO:0018638";"0.04259";"0.04259"
"GO:0018639";"0.04259";"0.04259"
"GO:0018640";"0.04259";"0.04259"
"GO:0018641";"0.04259";"0.04259"
"GO:0018642";"0.04259";"0.04259"
"GO:0018643";"0.04259";"0.04259"
"GO:0018644";"0.04259";"0.04259"
"GO:0018646";"0.04259";"0.04259"
"GO:0018647";"0.04259";"0.04259"
"GO:0018648";"0.04259";"0.04259"
"GO:0018649";"0.04259";"0.04259"
"GO:0018650";"0.04259";"0.04259"
"GO:0018651";"0.04259";"0.04259"
"GO:0018652";"0.04259";"0.04259"
"GO:0018653";"0.04259";"0.04259"
"GO:0018654";"0.04259";"0.04259"
"GO:0018655";"0.04259";"0.04259"
"GO:0018656";"0.04259";"0.04259"
"GO:0018657";"0.04259";"0.04259"
"GO:0019113";"0.04259";"1.00000"
"GO:0043719";"0.04259";"0.04259"
"GO:0043731";"0.04259";"0.04259"
"GO:0008236";"0.04563";"0.01657"
"GO:0017171";"0.04563";"1.00000"
"GO:0003987";"0.04566";"0.04566"
"GO:0004088";"0.04566";"0.04566"
"GO:0004341";"0.04566";"0.04566"
"GO:0004561";"0.04566";"0.04566"
"GO:0004667";"0.04566";"0.04566"
"GO:0005385";"0.04566";"0.04566"
"GO:0008519";"0.04566";"0.04566"
"GO:0015370";"0.04566";"1.00000"
"GO:0016404";"0.04566";"0.04566"
"GO:0047639";"0.04566";"0.04566"
"GO:0050150";"0.04566";"0.04566"
"GO:0140110";"0.05296";"1.00000"
"GO:0016810";"0.05938";"0.03288"
"GO:0003950";"0.06894";"0.06894"
"GO:0016629";"0.06894";"0.06894"
"GO:0016670";"0.06894";"1.00000"
"GO:0016712";"0.06894";"1.00000"
"GO:0008447";"0.06962";"0.06962"
"GO:0016682";"0.06962";"1.00000"
"GO:0033961";"0.06962";"0.06962"
"GO:0016878";"0.07793";"1.00000"
"GO:0004568";"0.09075";"0.21329"
"GO:0016405";"0.09075";"1.00000"
"GO:0018658";"0.09075";"0.09075"
"GO:0016746";"0.09428";"0.51130"
"GO:0015923";"0.09804";"1.00000"
"GO:0019842";"0.09852";"1.00000"
"GO:0004023";"0.10472";"0.10472"
"GO:0004024";"0.10472";"0.10472"
"GO:0004025";"0.10472";"0.10472"
"GO:0015645";"0.10472";"1.00000"
"GO:0016803";"0.10472";"1.00000"
"GO:0031956";"0.10472";"0.29058"
"GO:0016849";"0.11639";"1.00000"
"GO:0003871";"0.11750";"0.11750"
"GO:0003968";"0.11750";"0.11750"
"GO:0004745";"0.11750";"0.11750"
"GO:0008443";"0.11750";"0.38161"
"GO:0008825";"0.11750";"0.11750"
"GO:0018576";"0.11750";"0.11750"
"GO:0030196";"0.11750";"0.11750"
"GO:0033897";"0.11750";"0.11750"
"GO:0042085";"0.11750";"1.00000"
"GO:0047621";"0.11750";"0.11750"
"GO:0047911";"0.11750";"0.11750"
"GO:0052736";"0.11750";"1.00000"
"GO:0016790";"0.12424";"1.00000"
"GO:0004190";"0.13556";"0.13556"
"GO:0070001";"0.13556";"1.00000"
"GO:0016831";"0.14608";"1.00000"
"GO:0016877";"0.14608";"1.00000"
"GO:0004022";"0.14614";"1.00000"
"GO:0016801";"0.14614";"1.00000"
"GO:0016863";"0.14614";"1.00000"
"GO:0018455";"0.14614";"1.00000"
"GO:0046912";"0.14614";"1.00000"
"GO:0004806";"0.16087";"0.16087"
"GO:0016812";"0.16087";"1.00000"
"GO:0008843";"0.16850";"0.16850"
"GO:0004774";"0.17237";"0.20212"
"GO:0008496";"0.17237";"0.17237"
"GO:0004312";"0.17371";"0.09200"
