"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TrA0001W";357,404535482071;0,121976383180622;0,238825372156238;0,510734609473679;0,609536902772196;1
"TrA0002C";101,674777703314;0,206220562227619;0,203300036206621;1,01436559518381;0,310408334777855;1
"TrA0003W";33,1305189764394;0,139317612705117;0,465556605328437;0,299249567314876;0,76474963177153;1
"TrA0004W";1,00624952895575;-0,0145343183130724;3,70625466737872;-0,00392156492671669;0,996871051910633;1
"TrA0005W";17,9228517917923;-0,210296396677299;0,616378371629167;-0,341180687637464;0,732967561033076;1
"TrA0006W";9,56634236839462;1,02299269706102;0,626155396041567;1,63376807662792;0,102307557810398;0,971829812623274
"TrA0007W";197,295758528907;-0,384418180726732;0,288017709474957;-1,33470327719607;0,181973480558918;0,996361942823172
"TrA0008W";32,4845990896535;-0,484742295652082;0,629928582770214;-0,769519448570421;0,441585003487115;1
"TrA0009W";175,74303108253;-0,11378830198616;0,312118819339179;-0,364567257517742;0,715434459736492;1
"TrA0010C";93,0951434113842;0,0387298433560684;0,504864005576361;0,0767134177289066;0,938851530193407;1
"TrA0011C";79,6444231275827;-0,0987531339563849;0,343152962403561;-0,287781673993673;0,773513866245989;1
"TrA0012W";16,7324927420937;-0,565376975756821;0,595225278578034;-0,949853771512327;0,342186559121014;1
"TrA0013C";326,933670615231;0,0380032434452087;0,25778915546239;0,147419868679282;0,882800623917172;1
"TrA0014C";165,121745253718;-0,0851961297181986;0,219949752407127;-0,387343603644984;0,698501849007511;1
"TrA0015W";12,3985628184696;0,0502177224721907;0,461457949587271;0,108824048902193;0,913342048831137;1
"TrA0016C";193,529479942431;0,101409035858186;0,237943041252229;0,426190382893728;0,669969124642951;1
"TrA0017W";108,474391915775;0,736993328559585;0,512957983080395;1,43675184492465;0,150788517773733;0,984738140682581
"TrA0018C";69,3471479745113;-0,0609499950062703;0,247836813477864;-0,245927931976555;0,805738021124318;1
"TrA0019C";0,569972514417345;-0,0482954502987593;3,16540292276267;-0,0152572836625198;0,987826921212143;1
"TrA0020C";3,54998617039254;1,31148520950662;1,49722658215562;0,875943043716482;0,381060997912978;1
"TrA0021W";46,0061615668135;-0,607839868112425;0,331958784894694;-1,83107028875662;0,0670900525198161;0,912146156629505
"TrA0022W";49,5262813435631;0,245613253658568;0,440381196348127;0,557728748855134;0,577029623273473;1
"TrA0023W";10,0082754434219;2,10709803509916;1,1882147658808;1,77333096305803;0,0761738812563691;0,926325896627537
"TrA0024C";308,44442240064;0,186047726887443;0,19300732534426;0,963941272983274;0,335075369833017;1
"TrA0025C";1,46312633913492;-1,10724147554901;1,54515777704751;-0,716587970494978;0,473628369227978;1
"TrA0026C";42,709051314395;-0,890440728765533;1,04828934106914;-0,849422667846053;0,395646144224023;1
"TrA0027W";18002,69244964;-1,13425197044875;1,12956972466064;-1,00414515871476;0,315308651359546;1
"TrA0028C";42,7412990614788;0,478520810447315;0,374653192816045;1,27723670750157;0,201518691165535;1
"TrA0029W";0,0772320379390982;0,884335475831852;4,40735632396697;0,20064987054096;0,840972359931937;1
