"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TrF0062W";83,6417152697994;-10,3384681407341;2,91668701362198;-3,54459292082068;0,000393219874908992;0,00143538329556384
"TrG0300W";66,4245487279248;-10,1909127399297;1,93689621785221;-5,26146555814444;1,42911662228152e-07;9,94280003587322e-07
"TrB1967C";399,987447576172;-10,1133057873446;1,06205377926641;-9,52240459454897;1,69217386908352e-21;4,49050414266465e-20
"TrC0667W";179,658364820375;-9,95545366816239;1,20753794417061;-8,24442305620486;1,65959007856746e-16;3,09621912869054e-15
"TrE0664C";2881,18710100644;-9,82862402808601;0,901384231071831;-10,9039227548932;1,10393051244356e-27;4,26403382010143e-26
"TrA0422W";78,472815308286;-9,7785541119171;2,02541937168829;-4,8279157633247;1,37969427160267e-06;8,15693399010446e-06
"TrF0862W";47,4863802753745;-9,58241727365353;2,41629148402959;-3,96575385750778;7,31643357884907e-05;0,000313593977861114
"TrB0849W";62,1714363461422;-9,53674270180834;1,32532220922088;-7,1957918123282;6,20993204220194e-13;8,57793129379127e-12
"TrE0665C";233,864757663369;-9,49091132251407;1,21371111452618;-7,81974492028874;5,29304825255113e-15;8,69310239777256e-14
"TrE0661W";1186,008851762;-9,40757712105268;1,17279154470061;-8,02152536276534;1,04440011020294e-15;1,82752495793732e-14
"TrB0015C";322,070461761021;-9,35535213847632;0,873755382420057;-10,707060954022;9,43084059639745e-27;3,40326078130896e-25
"TrC0099C";54,3574658497681;-9,34016188157719;1,99291086869753;-4,68669323263889;2,77654664733219e-06;1,56861348781297e-05
"TrA1948C";2373,89144220674;-9,32515905477793;1,19467354152811;-7,80561277254881;5,92131284432656e-15;9,70051788706771e-14
"TrD0975C";67,2288295401532;-9,28430961547886;1,39905092656645;-6,63614843404192;3,21985608308095e-11;3,58759391992e-10
"TrC1496W";35,4849404680955;-9,16161095504517;2,47391743709893;-3,70328080382046;0,000212829079321768;0,000828206891136835
"TrG0220C";11643,0062553016;-9,1164291810976;0,639743049323268;-14,2501418198152;4,47371801216638e-46;4,2414913771712e-44
"TrB0850W";106,991671608365;-9,11150143450574;1,26120389147057;-7,22444760607397;5,03142796575626e-13;7,02446616531085e-12
"TrE1278W";287,892783321853;-9,09890763111805;0,858784073948007;-10,5951052274275;3,13987674839213e-26;1,09152582029938e-24
"TrF1124C";69,1123257270467;-9,05671441182169;1,25048883556369;-7,24253920087112;4,4036109624912e-13;6,17274982900816e-12
"TrG1028C";72,8184346288195;-8,97713086488845;1,24450570599235;-7,21341077157234;5,45674855726775e-13;7,58779076049939e-12
"TrG0405W";32,742915148455;-8,97251786207743;1,33249961105189;-6,73359886011105;1,65517108579075e-11;1,92224713293003e-10
"TrG0128W";279,712232790634;-8,95234818569938;1,75087961940709;-5,11305750919128;3,16985741414609e-07;2,08439110795269e-06
"TrC1547W";182,739704218315;-8,9264721392367;0,954606170607007;-9,3509474525611;8,68660611358399e-21;2,19352579076435e-19
