"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TrA1280W";291,030639862745;-9,00082571206904;1,16960355330139;-7,69562103899464;1,40808565133744e-14;2,09784646539974e-11
"TrA1391C";5673,81865503999;-7,92308466954669;1,0012364580358;-7,9133002059174;2,50653953508157e-15;4,35678346856095e-12
"TrC1551C";1129,54081113611;-5,49959458422646;1,63918230323487;-3,35508416200761;0,000793408421357128;0,0337732915360551
"TrD0146W";508,037161128924;-4,5236300752318;1,2923603850249;-3,50028531332971;0,000464760430622632;0,0226494697708572
"TrC1527C";32,7970372147355;-4,45211366168849;0,830484967121173;-5,36086002510253;8,28266788946145e-08;2,07277205390112e-05
"TrF0872C";18,0925047408857;-4,32291904302086;1,3128309592389;-3,29282228804767;0,000991871463713962;0,0396424831864058
"TrD0028W";18,4475018682038;-3,60652790192833;0,572371423594864;-6,30102718838929;2,95679517071247e-10;2,05576112235735e-07
"TrD0323C";6250,55925920491;-3,50989592240009;0,278387726370843;-12,6079406163349;1,90916694705192e-36;9,95535104540221e-33
"TrA1281W";39,7699353330746;-3,28078118912675;0,547750605593138;-5,98955282865296;2,10418775742412e-09;9,54111918355484e-07
"TrA0752W";106,337756799444;-3,07764024895757;0,805928739193919;-3,81874984633975;0,000134129692279032;0,00938733924590216
"TrA0872C";10,8401085785698;-3,03603805883867;0,812413818368753;-3,73705861494914;0,000186185532362086;0,0116971621506277
"TrF0507C";8,2662771538609;-2,82939916851678;0,80054654921106;-3,53433435108197;0,000408803590354829;0,0207483243388699
"TrB0548W";14,2159104028051;-2,82354923609661;0,61349735946009;-4,60238205194799;4,17686110165505e-06;0,000573164268804744
"TrG1066W";10,0557561130287;-2,41012748969092;0,73871296569223;-3,26260347607741;0,00110393862912832;0,0418653671388335
"TrE0817C";99,6178945298755;-2,27900090019888;0,407482276428426;-5,59288349955802;2,23329150717154e-08;7,5132248800942e-06
"TrB1332C";52,8078774303908;-2,17930031461052;0,478843003449769;-4,55117919424531;5,33460890964744e-06;0,000670296823117025
"TrF0049W";202,173265272285;-2,02131337017403;0,366166781605746;-5,52019864093077;3,38616655097528e-08;1,05797084621349e-05
"TrG0022C";50403,5822010538;-2,01887066713919;0,586098053100116;-3,44459541617746;0,000571914738745927;0,0261600825016722
"TrA0611W";231,094038574003;-2,00833262279276;0,47795337906136;-4,2019425131733;2,64634344042407e-05;0,0025554366426095
"TrE0013C";68,8689889329972;-2,00146849339316;0,577985461061829;-3,46283536218406;0,000534515347092107;0,0250065653769901
"TrD0412C";95,8831832759937;-1,97046358056549;0,42087457844977;-4,68183083859187;2,84324067079379e-06;0,000419698690931364
"TrA0569C";47,8411332041367;-1,95134833949371;0,47870544026578;-4,07630282707945;4,57574206559418e-05;0,00381763312016654
"TrD1079W";12,1641312378143;-1,9431234759632;0,509640335995809;-3,81273486166758;0,000137437525347329;0,00938733924590216
"TrC0843C";18,5056347749186;-1,93496722748768;0,500950439856303;-3,86259213195366;0,000112190232820197;0,00815787620533608
"TrA1279C";399,394557798177;-1,93346912923013;0,224693312996307;-8,60492510189614;7,63666098754303e-18;1,59285474878173e-14
"TrF0406C";39,4891100662861;-1,90744058509983;0,382271267525293;-4,98975661301466;6,04554150223267e-07;0,000123625396719185
"TrD0029W";40,7388131021829;-1,90088762716982;0,586883454646814;-3,2389524906845;0,00119969555252399;0,0442106887536138
"TrB0962W";193,930630707973;-1,88369560018365;0,341643596288421;-5,51362771217701;3,51511749258844e-08;1,05797084621349e-05
"TrG0192C";161,818336599885;-1,86140153365419;0,473846798987438;-3,92827710903992;8,5556594514154e-05;0,00646572263904429
"TrB0256C";74,2574188007564;-1,83232299224431;0,480346437905609;-3,81458640608128;0,000136411202611267;0,00938733924590216
"TrE1271W";50,4271169057518;-1,79005834767253;0,364647175190816;-4,90901471192204;9,15351119905882e-07;0,000178347730435716
"TrB0561W";2097,65599623236;-1,78451064420885;0,348533001046793;-5,1200622002772;3,05434898807746e-07;6,63620949930413e-05
"TrA0076W";445,57491035346;-1,7572744016664;0,257490400879121;-6,82462101758638;8,8157731793413e-12;7,07228449902695e-09
"TrG0579W";154,592746014063;-1,7109366919922;0,440140182258766;-3,88725401805354;0,000101384642531361;0,00744605941520819
"TrA0077W";280,451889413719;-1,68017674325138;0,306308731077755;-5,48523947502129;4,12909670986946e-08;1,19617637742302e-05
"TrB1908C";4117,04883338537;-1,65474975081102;0,494737634874464;-3,34470158355934;0,000823711459019198;0,0344999470124948
"TrA0603C";1328,35893712029;-1,64195650665625;0,403573313169964;-4,06854579595242;4,73074638329073e-05;0,00391563127232849
"TrA1730C";119,467354505942;-1,62042288703622;0,49798225908783;-3,25397713967642;0,00113801437182517;0,0428460356814609
"TrG1019C";637,377469462169;-1,58982238494959;0,33357223064504;-4,76605136427362;1,87871384172741e-06;0,000311174023216072
"TrE0294W";69,9071039849262;-1,58252297234477;0,268024014122037;-5,90440739994372;3,53916591055845e-09;1,47639845124856e-06
"TrB0731W";3808,06685765597;-1,5796330243883;0,362030920370832;-4,36325445011787;1,28141754445255e-05;0,0014216918692655
"TrF1085W";138,183499545595;-1,57538031253027;0,417780600675714;-3,77083165178627;0,000162704411060343;0,0105394056083747
"TrC0318W";5654,57888505176;-1,57166097753153;0,261341001525921;-6,0138323812754;1,81187860882318e-09;8,58912818700769e-07
"TrA0873W";559,068444771562;-1,5364382232209;0,334610432256466;-4,59172241839513;4,39602808881903e-06;0,000575648390148099
"TrG0791C";75,7867215670756;-1,5090985797712;0,429142806442897;-3,51654171318843;0,000437207954022283;0,0217041221494306
"TrG1045C";457,347582267813;-1,50692974386438;0,209835131129866;-7,18149404129927;6,89536901680394e-13;6,53743667965894e-10
"TrG0711W";242,623214623311;-1,49319887674798;0,422904684774317;-3,53081658942801;0,000414278906470856;0,0207717053633873
"TrE1281W";396,327973828564;-1,4638323421931;0,437147928099939;-3,34859723241888;0,000812217753958624;0,034294003870585
"TrA1894W";49,8703176177654;-1,45511475652774;0,383450957303105;-3,79478712678639;0,00014777018536781;0,00981589339618404
"TrE1115W";1413,66073579774;-1,43404216236963;0,390751240294645;-3,66996189516455;0,000242586627540262;0,0139274725139915
