"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TrC1551C";1129,54081113611;-13,7957933318734;1,61206058608672;-8,557862806734;1,14979074835263e-17;2,72526538967491e-16
"TrC0296W";1361,54115474286;-13,3606174062907;1,85004168981749;-7,22179261139176;5,13066789893178e-13;8,19414020183147e-12
"TrD0146W";508,037161128924;-12,9629515222655;1,22402995373736;-10,5903875004737;3,30222009779966e-26;1,28025477323244e-24
"TrE0661W";1186,008851762;-12,6058054016079;1,60911685023341;-7,83399005471818;4,72626182414714e-15;9,18042138525704e-14
"TrB1967C";399,987447576172;-12,3281950425296;1,21572362494276;-10,1406230738586;3,64765500716294e-24;1,30278746814049e-22
"TrF0255C";225,868678897325;-12,28664569631;1,88826592987247;-6,50684074840021;7,67476966272707e-11;9,62021307843517e-10
"TrA1880W";6168,71616931185;-11,8523492804528;1,35360920233345;-8,75610867599066;2,02106857521272e-18;5,01850575497464e-17
"TrE0671C";11273,3875539109;-11,8238786501164;1,86183904189059;-6,35064491832225;2,14414111562306e-10;2,52669465478338e-09
"TrG1195C";5629,19393138719;-11,7142051006589;1,09018510060044;-10,7451524463205;6,24586561301417e-27;2,62653759992439e-25
"TrB0435C";3623,64688185307;-11,6860502197425;1,34789024535496;-8,66988262584024;4,3256605719415e-18;1,04426653020319e-16
"TrF0083C";551,308224115134;-11,6322863926914;1,66384900816662;-6,9911911090472;2,72562175603253e-12;4,04345793650971e-11
"TrC0667W";179,658364820375;-11,6253142306223;1,20634852310691;-9,63677909654307;5,59148894830381e-22;1,71510700711354e-20
"TrE0665C";233,864757663369;-11,4120194950599;1,3503131646193;-8,45138727376423;2,87861675642245e-17;6,77677068910377e-16
"TrA0865C";871,472964247237;-11,397128792355;1,78996435634771;-6,36723784579153;1,92462607877588e-10;2,28870300747476e-09
"TrG0832W";3842,32450125808;-11,335529169575;1,48292067352506;-7,64405633554841;2,10483243286591e-14;3,85110481444887e-13
"TrF1129W";225,1246712896;-11,1548898843091;1,2556773710699;-8,88356367751101;6,47518869476549e-19;1,67984435068929e-17
"TrE0669C";4028,69768176102;-11,1511269880954;1,5583123854141;-7,15589960810851;8,31259628710993e-13;1,30364010042511e-11
"TrE0670C";5299,44275556449;-11,1298600880385;1,7629114756322;-6,31334031338539;2,73076084283642e-10;3,18202288602693e-09
"TrB1968W";1024,25014552124;-11,1216150513321;0,851632779942402;-13,0591674173043;5,63405815718772e-39;4,25779655951527e-37
"TrG1206C";18124,7060226277;-11,0742462630272;1,00325563393276;-11,0383095678378;2,4968627299229e-28;1,16770320225856e-26
"TrG0128W";279,712232790634;-10,9546276551504;1,92750195553829;-5,68332894484202;1,32097841726764e-08;1,24336497415923e-07
"TrB0015C";322,070461761021;-10,9304185372746;1,20741265549834;-9,05276128049469;1,3939780751413e-19;3,80570611142635e-18
"TrE1278W";287,892783321853;-10,5491566795028;1,30827251153566;-8,06342454380556;7,41863277073713e-16;1,56934931371232e-14
"TrE0168W";13030,7674968089;-10,4320110095012;0,942916020500042;-11,063563225884;1,88458801873567e-28;8,89337938796124e-27
"TrB0850W";106,991671608365;-10,4193714176872;1,26088079630586;-8,26356579322485;1,41384216917921e-16;3,15063247486538e-15
"TrE0170C";1438,13808091147;-10,3675832237023;1,51985048708254;-6,82144942007001;9,01265023808735e-12;1,25827214635894e-10
"TrC1508W";74,7096921063175;-10,2618076292827;1,42927132305735;-7,17974779437376;6,98401331998933e-13;1,10191036178773e-11
"TrB1970W";79,162678607989;-9,94430564903705;1,67478078425269;-5,93767598872608;2,89090654227945e-09;2,96161732116232e-08
"TrG0022C";50403,5822010538;-9,89737646028525;0,584638668892877;-16,9290486361906;2,74785439967753e-64;5,21043155167946e-62
"TrE0662C";47576,9420631058;-9,83630754159045;0,625801009667514;-15,7179477016447;1,13955521687667e-55;1,62800292558997e-53
"TrB0016W";490,642159249339;-9,83498044862341;0,920696134064854;-10,6821133322263;1,23429292464306e-26;5,06789012248131e-25
"TrF0383C";54,3327920706253;-9,64552103133229;1,25538706242867;-7,68330447238486;1,55036520783545e-14;2,85163293695167e-13
"TrC1166C";104144,409750351;-9,50000655552489;0,645992418694985;-14,7060650877552;5,89362587564836e-49;6,53878981458902e-47
"TrF0312W";148,012978072788;-9,48933249322069;1,10040341697493;-8,62350329600702;6,49363059365784e-18;1,55682927497144e-16
"TrB1918C";2529,10634619797;-9,43162003696153;1,0745651386127;-8,77715058682998;1,67668436060088e-18;4,20339932613138e-17
"TrB0849W";62,1714363461422;-9,39672939476703;1,32554533914391;-7,08895359311948;1,35129825925307e-12;2,06637676623904e-11
"TrB0238W";53,2457063280057;-9,28162640482868;1,25541551867693;-7,39327040867749;1,43260714189668e-13;2,40590336277625e-12
"TrC0398W";546,588613302833;-9,22711773096726;1,50488726669932;-6,13143451682274;8,7090181408185e-10;9,64186307755798e-09
"TrC0099C";54,3574658497681;-9,20158675808854;1,99307394121227;-4,61678142883739;3,89737371860709e-06;2,52614732823824e-05
