"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrC0667W";179,658364820375;-11,0561763818425;3,06182673646123;1,65956733856524e-16;3,09904868599459e-15
"TrG0300W";66,4245487279248;-10,8014209467229;3,52231798925526;1,42914184618794e-07;9,94766735957134e-07
"TrB0849W";62,1714363461422;-10,4996287384561;3,06142969452003;6,20998474002168e-13;8,58196830119707e-12
"TrA0422W";78,472815308286;-10,2222703149129;3,56031279666165;1,37970274952487e-06;8,15919560161701e-06
"TrD0975C";67,2288295401532;-10,1636056249699;3,07185741667255;3,21985893225239e-11;3,5883347672802e-10
"TrB1967C";399,987447576172;-9,9004199245143;1,01067814422587;1,69219217857779e-21;4,49812308693383e-20
"TrG0405W";32,742915148455;-9,83924787628969;2,99458685576878;1,65519700542509e-11;1,92275950908912e-10
"TrF0383C";54,3327920706253;-9,70086313152108;2,93304191656908;2,40018242770367e-12;3,04256701905988e-11
"TrC0099C";54,3574658497681;-9,69753765129899;3,48944820398025;2,77658631759132e-06;1,56898207317253e-05
"TrE0664C";2881,18710100644;-9,64760376112142;0,904381549113806;1,10396838320734e-27;4,27633849554665e-26
"TrE0035W";34,6737007462604;-9,53898633562354;2,89620245187268;1,70675997101047e-12;2,20924706806573e-11
"TrA0298C";20,5405135698698;-9,33421282120377;2,96498598481837;4,43086144721173e-10;4,37626315449727e-09
"TrF0237C";27,0703105633436;-9,29527933547168;2,86413814658133;4,72553336719159e-12;5,78614073867642e-11
"TrB0015C";322,070461761021;-9,19940714278329;0,843559150059218;9,43088860915446e-27;3,41214789261769e-25
"TrC1253C";37,0008808532934;-9,18357542308499;3,05416198800682;2,32209544160999e-08;1,82475373315053e-07
"TrE0665C";233,864757663369;-9,18122827399937;1,17462475854548;5,29311965537777e-15;8,69941747776599e-14
"TrC0445W";28,7756657145333;-9,1004955107623;2,8676671589371;4,68938954027615e-11;5,11123839013363e-10
"TrE0661W";1186,008851762;-9,08092552888589;1,18816933420737;1,04444861737886e-15;1,82910161228366e-14
"TrD1002W";22,1896564990488;-9,05085328961691;2,9122370660944;6,25289282961659e-10;6,0665868980079e-09
"TrG0220C";11643,0062553016;-9,01796164720955;0,641521553555255;4,47393799703419e-46;4,23803944809966e-44
"TrA1948C";2373,89144220674;-8,98253980693902;1,21489115497932;5,92158616382973e-15;9,70746668584444e-14
"TrE0065W";27,6700043725151;-8,9740698347791;3,05755980756262;7,40608531614664e-08;5,38530418661884e-07
"TrE1278W";287,892783321853;-8,93104687743618;0,852162704641794;3,13991576263844e-26;1,09424489119373e-24
