"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrB0969W";51,4846777350426;-3,56323389952118;0,414663559045393;4,0350861809844e-19;1,05113995014644e-15
"TrA1281W";39,7699353330746;-3,50007256179579;0,510723979733954;3,85247867726367e-13;8,02856556341749e-10
"TrA1279C";399,394557798177;-2,95647765088294;0,229410572045795;2,37115977724038e-39;2,47074848788448e-35
"TrE0032C";208,14857225653;-1,38250186755763;0,334741635773783;1,37626215605826e-06;0,00068288817457748
"TrB1842C";760,238680070509;-1,08422816844767;0,21972769617677;3,06377620245622e-08;2,90223163905398e-05
"TrE0003W";45,5204343517333;1,07264894348321;0,387847849294184;0,000179164659038564;0,0380999132077926
"TrB1256C";47338,2294476778;1,1006047919043;0,191248043246284;2,97678959255405e-10;5,16969125906887e-07
"TrC0363W";34376,991261312;1,11198092559181;0,305097675906754;1,00034474159782e-05;0,00427226031207699
"TrC0706C";891,520170190421;1,17394336058587;0,231469248097593;1,69490715259104e-08;1,76609325299986e-05
"TrA1235W";7418,54495334191;1,22207918695873;0,361601403546707;2,55880522099095e-05;0,00987509274175027
"TrF0312W";148,012978072788;1,3686624206214;0,472615696925932;0,000123519568143031;0,0283159884716028
"TrD0614W";59,132699634039;1,44011449195197;0,445350218829898;4,90056515386112e-05;0,0170212963010776
"TrC0399W";9433,89567963118;1,45899512143521;0,488303675574334;7,93394875059367e-05;0,0217557226266279
"TrC0667W";179,658364820375;1,49879140290737;0,277102228510176;2,91004256466209e-09;3,79033044047237e-06
"TrE0533C";3121,83048333362;1,77297634947697;0,345797664410201;1,22244699805751e-08;1,41532196886213e-05
"TrF1000W";1038,91591046283;1,83879484373483;0,383626214741019;6,60409225021101e-08;5,29343394209221e-05
"TrB0212C";229,832103214082;2,44068080669749;0,576598359095039;8,81527473540262e-07;0,000510306459682752
"TrE0391W";430858,271314403;2,61467343844072;0,636413539958718;1,29933896879987e-06;0,000676955602744733
"TrB1897W";64,6640459854232;2,87747501464185;0,767356900336977;6,24891006719769e-06;0,00283102795218261
"TrF0487C";34,2013860046209;3,14667126623091;0,998445156782151;5,19058617449228e-05;0,0174470670768418
