"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrA1280W";291,030639862745;-8,69482679101798;1,12637725244191;1,40791550475092e-14;1,89284183074442e-11
"TrC1527C";32,7970372147355;-4,1056984264503;0,867511028617775;8,28285840663019e-08;1,87045635829795e-05
"TrD0146W";508,037161128924;-4,01030164438979;2,29689827994793;0,000464740712546365;0,0204377329241768
"TrD0323C";6250,55925920491;-3,46382816202588;0,280142324040072;1,909208602602e-36;8,98378107954369e-33
"TrD0028W";18,4475018682038;-3,40703492997003;0,583083852967097;2,95682898136467e-10;1,85511450290819e-07
"TrF0872C";18,0925047408857;-3,32094449304053;1,40624635733369;0,00099186269074607;0,035772824357569
"TrA1281W";39,7699353330746;-3,08865504099983;0,557850938529284;2,10419560592271e-09;8,60981949884287e-07
"TrB0548W";14,2159104028051;-2,52859402301563;0,643982505019817;4,1768860534666e-06;0,000517219403278607
"TrE0817C";99,6178945298755;-2,12195127843318;0,422912408225625;2,23330660574883e-08;6,77988660216202e-06
"TrB1332C";52,8078774303908;-1,94648274972705;0,506665123433123;5,33461409825482e-06;0,000604868111791278
"TrA1279C";399,394557798177;-1,87954728926784;0,227992360725893;7,63671739048768e-18;1,43738294723759e-14
"TrF0049W";202,173265272285;-1,87791091071248;0,380884442949541;3,38619712051196e-08;9,54702778904928e-06
"TrD0412C";95,8831832759937;-1,76971472713125;0,446676032663164;2,84325686352487e-06;0,000378732436391933
"TrB0962W";193,930630707973;-1,75104499986698;0,354894651732708;3,51513159059447e-08;9,54702778904928e-06
"TrA0611W";231,094038574003;-1,74836217629431;0,5181076856957;2,64634124065418e-05;0,00230599235331449
"TrF0406C";39,4891100662861;-1,74185727113899;0,398419609770893;6,04555163214861e-07;0,000111558208647354
"TrA0569C";47,8411332041367;-1,67997300060119;0,522420637256974;4,57576750985608e-05;0,00344500384282045
"TrA0076W";445,57491035346;-1,67902688404591;0,263692905832836;8,81588533617036e-12;6,38202283836148e-09
"TrB0561W";2097,65599623236;-1,63589274782623;0,365680292088975;3,05436954231996e-07;5,98847328391107e-05
"TrC0843C";18,5056347749186;-1,62992892076837;0,551282529317183;0,000112190839735814;0,00736152578281531
"TrD1079W";12,1641312378143;-1,62740461416355;0,561430089397718;0,000137438523173337;0,00847101099968338
"TrE1271W";50,4271169057518;-1,62657004364015;0,383404154864534;9,15359575440497e-07;0,000160937709026924
"TrG0022C";50403,5822010538;-1,59168267048419;0,692015216919478;0,000571908361373423;0,0236062701266899
"TrG0192C";161,818336599885;-1,5845979141047;0,514561548298142;8,55562673431615e-05;0,00583456544903255
