"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrC1551C";1129,54081113611;-15,1611394239767;3,68987581558367;1,14979074835269e-17;2,67620999240723e-16
"TrD0146W";508,037161128924;-14,4268329114952;3,43274420471058;3,3022200977996e-26;1,25903302087001e-24
"TrB1967C";399,987447576172;-13,7238732674372;3,35594238920445;3,64765500716281e-24;1,28081576849449e-22
"TrF0255C";225,868678897325;-13,2762664244825;3,69435322107591;7,67476966272712e-11;9,44828872454767e-10
"TrC0667W";179,658364820375;-12,9408172437922;3,26839261280284;5,5914889483039e-22;1,68536383698434e-20
"TrC0296W";1361,54115474286;-12,8715209420693;1,97658956590161;5,13066789893171e-13;8,05302067454443e-12
"TrE0665C";233,864757663369;-12,6081556788049;3,28337389092072;2,87861675642253e-17;6,65468461925915e-16
"TrF1129W";225,1246712896;-12,3877835099915;3,23257437994174;6,47518869476528e-19;1,64996204696039e-17
"TrE0661W";1186,008851762;-12,1727816530744;1,73132407876314;4,72626182414721e-15;9,01146380871015e-14
"TrE1278W";287,892783321853;-11,6835461026654;3,1924817052918;7,41863277073756e-16;1,5407233668983e-14
"TrB0850W";106,991671608365;-11,5487984978136;3,14354495892604;1,41384216917917e-16;3,09349877616118e-15
"TrA1880W";6168,71616931185;-11,5019440901277;1,37136752773845;2,02106857521266e-18;4,92870613401503e-17
"TrG1195C";5629,19393138719;-11,4885182801849;1,09633772921688;6,24586561301441e-27;2,58381598517333e-25
"TrB0435C";3623,64688185307;-11,3409917027579;1,36476815264179;4,32566057194136e-18;1,02551275461942e-16
"TrC1508W";74,7096921063175;-11,2721432661647;3,21039784302742;6,98401331998942e-13;1,08289299095071e-11
"TrE0671C";11273,3875539109;-11,1397422066884;1,93649375202876;2,14414111569081e-10;2,48118164440868e-09
"TrF0083C";551,308224115134;-11,1234377522215;1,78551463513669;2,72562175603258e-12;3,97295336706718e-11
"TrB1968W";1024,25014552124;-10,9890553873634;0,840365604515322;5,63405815718811e-39;4,20210264599621e-37
"TrG0832W";3842,32450125808;-10,8971318176315;1,51198141294038;2,10483243286585e-14;3,77982035132219e-13
"TrG1206C";18124,7060226277;-10,846829402859;1,00905100430448;2,4968627299226e-28;1,14923168352924e-26
"TrA0865C";871,472964247237;-10,780375736666;1,81523860486409;1,9246260787759e-10;2,24752334547796e-09
"TrB1970W";79,162678607989;-10,7269282227648;3,31183276092876;2,8909065422795e-09;2,9074097489185e-08
"TrB0015C";322,070461761021;-10,6876273038212;1,3292119394986;1,39397807514137e-19;3,73849553065473e-18
"TrE0669C";4028,69768176102;-10,6672389693843;1,59794496750338;8,31259628710983e-13;1,28111778071928e-11
"TrF0383C";54,3327920706253;-10,6627040347589;3,04146781518754;1,55036520783537e-14;2,79887485753742e-13
"TrE0670C";5299,44275556449;-10,4843230641534;1,83173424238917;2,73076084283637e-10;3,12462646048175e-09
"TrB0849W";62,1714363461422;-10,3308112599878;3,04388854569263;1,35129825925313e-12;2,03052435486007e-11
"TrB0238W";53,2457063280057;-10,2429453035024;2,99341307827164;1,43260714189665e-13;2,36484325943457e-12
"TrE0168W";13030,7674968089;-10,2399449330182;0,948434388531286;1,88458801873564e-28;8,75305471610942e-27
"TrG0128W";279,712232790634;-10,1871847528406;2,07253882025281;1,32097841726764e-08;1,22041206759862e-07
"TrE0170C";1438,13808091147;-9,87454639353886;1,55622987603811;9,01265023808724e-12;1,23612429708423e-10
