"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0001W";5,06531190776578;3,98076334844571;4,78125228806422;3,99449078931181
"TrA0002C";2,90661336091189;2,65390003041285;2,58322733205583;2,86164666301383
"TrA0003W";1,59186218694944;0,797138214447854;1,11994888757443;0,592636138365514
"TrA0004W";-3,19364031664599;-4,96862819080281;-3,75127764189851;-4,89930685457746
"TrA0005W";1,0444274714983;-4,96862819080281;1,20981211403772;-4,89930685457746
"TrA0006W";0,746426606129505;-4,96862819080281;-0,328812647000756;-4,89930685457746
"TrA0007W";4,09620200657494;2,67473599650902;4,31189508647886;2,82268087936319
"TrA0008W";1,66539092498132;-0,738687370556268;1,94778334764683;-4,38909364259569
"TrA0009W";4,42374528396465;-0,348362608537048;4,35801023514947;-0,342666223761825
"TrA0010C";0,499580387263473;3,27180478579612;-0,0673606494245897;3,69501551976052
"TrA0011C";2,06401955502028;2,44234773339106;1,93377588300211;2,87907369279206
"TrA0012W";-0,529816982387076;-0,150861220972656;-0,0674039470012193;0,750726892766148
"TrA0013C";3,72299742251305;5,01142573751401;3,56627415933553;4,90671267423524
"TrA0014C";3,30217751557293;3,57378744225327;3,22276889071014;3,65696934184583
"TrA0015W";0,167966763467142;-0,68076286106733;-0,0325743864130924;-0,754088168809768
"TrA0016C";3,41711040247089;3,88494817492637;3,18364647552564;4,07963587581424
"TrA0017W";3,266534689491;3,21020208502088;2,29628636489867;1,69692701064126
"TrA0018C";2,28296536100754;2,13188983400045;2,23856789920656;2,09372952682642
"TrA0019C";-3,58725087467939;-4,96862819080281;-3,61778675420236;-4,89930685457746
"TrA0020C";-3,61067003064221;-1,29640320198725;-3,33448982286547;-1,84287916974755
"TrA0021W";1,14100421224182;1,78648642172945;1,60754661542229;1,77508559053321
"TrA0022W";2,60913179286351;-0,508565697318573;2,2874974187647;-0,541269969036088
"TrA0023W";-2,10920963713535;0,236982437614805;-4,13999908034154;0,447034270870312
"TrA0024C";2,92927458658427;5,05094538339621;2,6222292647738;5,20473250611029
"TrA0025C";-3,400336428973;-3,50365925625517;-2,38852696599907;-4,38909364259569
