Geneid	Length	180300_sort.bam	180301_sort.bam	180302_sort.bam	180306_sort.bam	180307_sort.bam	180308_sort.bam	180309_sort.bam	180310_sort.bam	180311_sort.bam	180315_sort.bam	180316_sort.bam	180317_sort.bam
TrA0001W	9003	483	273	554	324	629	558	247	267	205	204	258	284
TrA0002C	2364	98	91	82	87	143	103	129	110	88	96	89	110
TrA0003W	1065	28	61	19	37	46	48	23	26	18	32	29	21
TrA0004W	783	0	5	0	1	5	0	0	0	0	0	0	0
TrA0005W	654	47	37	23	12	53	37	0	0	0	0	0	0
TrA0006W	921	13	13	9	12	37	29	0	0	0	0	0	0
TrA0007W	927	234	341	341	199	309	249	112	142	73	122	74	109
TrA0008W	1032	101	27	73	21	52	80	0	0	1	20	7	5
TrA0009W	768	424	174	412	346	298	302	13	11	10	14	9	13
TrA0010C	1602	14	5	40	11	28	25	204	210	169	119	144	197
TrA0011C	1623	75	30	87	54	49	83	104	133	97	69	91	96
TrA0012W	1482	11	11	23	4	12	17	16	42	24	13	10	19
TrA0013C	1854	176	143	232	104	252	256	475	471	402	414	495	623
TrA0014C	1002	139	110	187	104	158	175	196	216	158	152	174	240
TrA0015W	516	19	11	14	13	18	17	5	11	11	8	9	11
TrA0016C	1026	119	124	178	113	225	145	294	265	204	207	209	282
TrA0017W	1344	83	106	44	114	142	167	34	93	37	177	217	82
TrA0018C	1269	69	67	78	75	80	60	75	57	59	77	66	63
TrA0019C	1230	0	2	1	2	1	0	0	0	0	0	0	0
TrA0020C	894	1	1	1	7	0	0	4	10	1	5	5	8
TrA0021W	1044	42	56	40	22	44	32	50	47	57	49	44	70
TrA0022W	1752	64	64	99	39	111	146	7	17	8	13	10	9
TrA0023W	729	2	0	0	4	2	3	24	18	18	17	19	18
TrA0024C	1791	104	95	80	73	140	128	651	548	464	480	465	622
TrA0025C	1497	4	3	1	1	0	3	0	0	1	0	3	1
TrA0026C	306	23	71	0	20	17	20	11	49	9	124	120	45
TrA0027W	2058	9862	53903	657	14214	6799	11930	7101	18064	6925	32430	30721	14005
TrA0028C	6441	52	19	61	44	66	83	31	33	26	28	25	50
TrA0029W	68	0	0	0	0	0	1	0	0	0	0	0	0
TrA0030W	1608	209	129	283	211	515	450	6	11	13	12	9	10
TrA0031W	1797	1	1	0	0	0	2	0	0	0	0	0	0
TrA0032W	882	0	0	0	0	1	0	0	0	0	0	0	0
TrA0033W	918	426	1525	338	488	547	743	494	387	300	580	603	634
TrA0034W	1512	2270	1764	1768	1841	1791	1794	2856	2263	2338	2332	2297	2889
TrA0035W	303	221	195	264	248	250	245	589	407	380	309	347	511
TrA0036C	1329	647	818	604	577	655	732	1274	716	786	756	691	966
TrA0037W	1419	485	3708	57	575	308	462	26	39	17	155	337	29
TrA0038C	1791	38	31	47	32	76	64	49	50	31	44	31	45
TrA0039W	588	8	4	7	7	4	8	14	7	11	22	16	13
TrA0040W	828	2	0	3	0	0	6	0	1	0	0	2	4
TrA0041C	540	83	122	77	86	68	94	46	46	49	71	43	58
TrA0042C	1923	20	25	62	28	55	42	117	135	99	124	128	154
TrA0043W	2679	54	77	62	70	122	105	37	44	24	43	39	44
TrA0044C	1545	2475	2164	1766	1823	1788	1494	329	286	191	372	347	269
TrA0045C	2541	32	12	34	19	23	30	15	31	13	18	41	38
TrA0046W	1596	11	2	25	9	17	26	56	50	38	67	49	39
TrA0047C	1608	479	568	514	350	563	588	915	713	725	702	719	756
TrA0048W	488	0	0	0	0	3	0	4	0	0	0	0	0
